cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
João Pessoa,Água Fria,casa,venda,3250.0,1761.0,5516.7,6,,setembro/2026
João Pessoa,Altiplano,casa,venda,8568.6,7710.9,10519.3,11,,setembro/2026
João Pessoa,Altiplano Cabo Branco,casa,venda,7389.2,4491.8,8173.3,29,,setembro/2026
João Pessoa,Anatólia,casa,venda,2283.3,2025.0,2554.2,6,,setembro/2026
João Pessoa,Bairro dos Estados,casa,venda,3866.7,2888.9,5021.8,21,7.29,setembro/2026
João Pessoa,Bairro dos Estados,casa,aluguel,23.5,20.4,42.3,10,7.29,setembro/2026
João Pessoa,Bancários,casa,venda,8333.3,4399.6,11934.3,23,,setembro/2026
João Pessoa,Bessa,casa,venda,5833.3,4457.9,7649.5,23,8.23,setembro/2026
João Pessoa,Bessa,casa,aluguel,40.0,30.7,46.1,7,8.23,setembro/2026
João Pessoa,Brisamar,casa,venda,3793.7,2517.9,4721.4,12,6.14,setembro/2026
João Pessoa,Brisamar,casa,aluguel,19.4,17.1,21.5,7,6.14,setembro/2026
João Pessoa,Cabo Branco,casa,venda,6832.4,4788.9,11587.8,15,,setembro/2026
João Pessoa,Castelo Branco,casa,venda,2278.8,2212.5,2711.5,6,,setembro/2026
João Pessoa,Centro,casa,venda,2625.0,1731.6,4452.6,26,,setembro/2026
João Pessoa,Cidade dos Colibris,casa,venda,4402.5,2637.2,5276.1,12,,setembro/2026
João Pessoa,Colinas do Sul,casa,venda,2250.0,2090.9,3180.0,9,,setembro/2026
João Pessoa,Cristo Redentor,casa,venda,3333.3,2312.5,3959.3,23,,setembro/2026
João Pessoa,Cruz das Armas,casa,venda,3233.3,2500.0,4222.2,9,,setembro/2026
João Pessoa,Cuiá,casa,venda,2314.3,1912.5,3323.6,18,,setembro/2026
João Pessoa,Ernani Sátiro,casa,venda,2666.7,2427.2,4000.0,5,,setembro/2026
João Pessoa,Ernesto Geisel,casa,venda,3366.7,2645.5,4694.9,26,,setembro/2026
João Pessoa,Expedicionários,casa,venda,3703.7,2905.6,5048.6,23,,setembro/2026
João Pessoa,Funcionários,casa,venda,1433.7,1175.0,2375.0,11,,setembro/2026
João Pessoa,Gramame,casa,venda,3971.1,2275.0,4489.1,34,,setembro/2026
João Pessoa,Indústrias,casa,venda,2758.4,1150.0,3169.1,10,,setembro/2026
João Pessoa,Intermares,casa,venda,9724.4,8206.0,11501.1,12,,setembro/2026
João Pessoa,Jaguaribe,casa,venda,2320.5,1968.0,3168.4,20,,setembro/2026
João Pessoa,Jardim Cidade Universitária,casa,venda,4854.2,3291.7,7764.2,28,,setembro/2026
João Pessoa,Jardim Oceania,casa,venda,7938.5,5750.0,9318.2,12,,setembro/2026
João Pessoa,Jardim São Paulo,casa,venda,2727.3,2500.0,4437.9,9,,setembro/2026
João Pessoa,João Paulo II,casa,venda,3909.8,2447.0,4787.0,24,,setembro/2026
João Pessoa,José Américo de Almeida,casa,venda,3662.4,2458.3,5000.0,41,,setembro/2026
João Pessoa,Manaíra,casa,venda,4901.4,3875.0,6583.9,22,9.18,setembro/2026
João Pessoa,Manaíra,casa,aluguel,37.5,31.4,46.2,7,9.18,setembro/2026
João Pessoa,Mangabeira,casa,venda,2525.2,1775.8,3554.9,26,,setembro/2026
João Pessoa,Miramar,casa,venda,4498.9,3588.0,5587.5,14,,setembro/2026
João Pessoa,Muçumagro,casa,venda,7055.2,5552.1,8219.5,74,,setembro/2026
João Pessoa,Paratibe,casa,venda,3000.0,2254.9,4017.9,29,,setembro/2026
João Pessoa,Planalto Boa Esperança,casa,venda,3500.0,2845.7,4189.4,7,,setembro/2026
João Pessoa,Portal do Sol,casa,venda,7641.0,6328.0,9252.6,52,7.85,setembro/2026
João Pessoa,Portal do Sol,casa,aluguel,50.0,47.6,54.1,8,7.85,setembro/2026
João Pessoa,Tambauzinho,casa,venda,4811.0,3108.8,6630.3,14,,setembro/2026
João Pessoa,Torre,casa,venda,3111.1,2480.0,3612.2,9,5.36,setembro/2026
João Pessoa,Torre,casa,aluguel,13.9,12.5,14.9,5,5.36,setembro/2026
João Pessoa,Treze de Maio,casa,venda,3229.1,1927.8,4320.2,14,,setembro/2026
João Pessoa,Valentina de Figueiredo,casa,venda,2633.1,1350.5,3903.2,18,,setembro/2026
João Pessoa,Varjão,casa,venda,3742.5,2174.8,5375.0,6,,setembro/2026
João Pessoa,Aeroclube,apartamento,venda,8983.7,7043.7,11277.5,264,6.91,setembro/2026
João Pessoa,Aeroclube,apartamento,aluguel,51.7,40.9,58.8,45,6.91,setembro/2026
João Pessoa,Água Fria,apartamento,venda,5858.4,4409.5,6448.8,32,12.15,setembro/2026
