cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Penha,Armação do Itapocorói,casa,venda,6637.6,5384.6,7615.4,21,,setembro/2026
Penha,Centro,casa,venda,7026.0,5498.7,8916.9,188,4.41,setembro/2026
Penha,Centro,casa,aluguel,25.8,23.9,30.1,7,4.41,setembro/2026
Penha,Gravatá,casa,venda,5696.2,3800.0,7568.0,29,,setembro/2026
Penha,Nossa Senhora de Fátima,casa,venda,5871.2,4097.8,6777.1,96,,setembro/2026
Penha,Praia Alegre,casa,venda,8000.0,5844.5,10171.9,40,,setembro/2026
Penha,Praia da Armação,casa,venda,7218.0,5325.0,8212.6,9,,setembro/2026
Penha,Praia da Armação Itaporocoy,casa,venda,6500.0,5614.1,7557.7,15,,setembro/2026
Penha,Praia de Armação do Itapocorói,casa,venda,7016.8,5706.5,9756.1,181,5.13,setembro/2026
Penha,Praia de Armação do Itapocorói,casa,aluguel,30.0,21.6,35.2,11,5.13,setembro/2026
Penha,Praia de São Miguel,casa,venda,5904.0,4603.5,8702.0,6,,setembro/2026
Penha,Praia do Quilombo,casa,venda,6779.7,6327.9,11333.3,13,,setembro/2026
Penha,Praia Grande,casa,venda,9114.5,8061.8,11875.0,18,,setembro/2026
Penha,Santa Lídia,casa,venda,4998.9,3367.7,7339.1,12,,setembro/2026
Penha,São Cristovão,casa,venda,5222.2,4691.9,6279.8,10,,setembro/2026
Penha,Armação do Itapocorói,apartamento,venda,10000.0,9544.2,12222.2,9,,setembro/2026
Penha,Bacia da Vovó,apartamento,venda,16504.3,14586.6,19506.8,10,,setembro/2026
Penha,Centro,apartamento,venda,11401.7,8719.7,15304.6,439,5.13,setembro/2026
Penha,Centro,apartamento,aluguel,48.7,36.0,55.6,19,5.13,setembro/2026
Penha,Gravatá,apartamento,venda,6902.8,6747.9,7052.5,6,,setembro/2026
Penha,Itapocoroi,apartamento,venda,12812.5,11153.8,15041.8,27,,setembro/2026
Penha,Nossa Senhora de Fátima,apartamento,venda,6363.6,5266.3,9584.6,63,,setembro/2026
Penha,Praia Alegre,apartamento,venda,11207.6,8758.4,13663.3,38,,setembro/2026
Penha,Praia da Armação,apartamento,venda,17307.7,12983.8,19871.4,16,,setembro/2026
Penha,Praia da Armação Itaporocoy,apartamento,venda,10946.3,9796.3,11691.9,12,,setembro/2026
Penha,Praia de Armação do Itapocorói,apartamento,venda,11666.7,8630.9,15197.3,499,4.62,setembro/2026
Penha,Praia de Armação do Itapocorói,apartamento,aluguel,44.9,35.2,51.6,26,4.62,setembro/2026
Penha,Praia do Quilombo,apartamento,venda,13745.7,10772.1,17818.0,18,,setembro/2026
Penha,Praia Grande,apartamento,venda,8900.0,7270.8,11755.5,8,,setembro/2026
Penha,Centro,terreno,venda,1928.1,1483.9,2904.7,63,,setembro/2026
Penha,Gravatá,terreno,venda,1263.5,1065.3,1596.4,16,,setembro/2026
Penha,Nossa Senhora de Fátima,terreno,venda,1133.3,882.3,1499.0,59,,setembro/2026
Penha,Praia Alegre,terreno,venda,1522.6,1371.4,1675.4,11,,setembro/2026
Penha,Praia de Armação do Itapocorói,terreno,venda,2432.5,1516.7,3789.3,36,,setembro/2026
Penha,Praia de São Miguel,terreno,venda,1180.6,354.9,1987.2,5,,setembro/2026
Penha,Santa Lídia,terreno,venda,960.0,636.7,1078.0,22,,setembro/2026
Penha,Centro,sala,aluguel,58.2,48.3,76.0,10,,setembro/2026
Penha,Praia de Armação do Itapocorói,sala,aluguel,52.3,45.5,60.5,5,,setembro/2026
Penha,Nossa Senhora de Fátima,galpao,aluguel,19.3,14.0,20.8,5,,setembro/2026
