cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Teresina,Acarape,casa,venda,2062.5,1511.7,2958.3,14,,setembro/2026
Teresina,Aeroporto,casa,venda,3583.6,2847.2,4948.6,22,,setembro/2026
Teresina,Aldebaran Leste,casa,venda,6194.7,6180.6,6666.7,5,,setembro/2026
Teresina,Alphaville,casa,venda,10982.5,10927.6,11592.7,5,,setembro/2026
Teresina,Angelim,casa,venda,2222.2,1666.7,2942.3,23,,setembro/2026
Teresina,Aroeiras,casa,venda,2903.2,1958.3,3700.2,7,,setembro/2026
Teresina,Bela Vista,casa,venda,2010.7,1629.7,2848.4,35,,setembro/2026
Teresina,Cabral,casa,venda,3452.9,2831.9,4780.6,11,,setembro/2026
Teresina,Campestre,casa,venda,3636.4,2863.4,5666.7,15,,setembro/2026
Teresina,Centro,casa,venda,3000.0,2145.6,4535.2,87,5.0,setembro/2026
Teresina,Centro,casa,aluguel,12.5,9.5,20.0,32,5.0,setembro/2026
Teresina,Centro Sul,casa,venda,3244.9,2742.4,4236.1,10,,setembro/2026
Teresina,Cidade Nova,casa,venda,1818.2,1647.1,2246.4,9,,setembro/2026
Teresina,Colorado,casa,venda,1965.6,1516.7,2650.7,6,,setembro/2026
Teresina,Cristo Rei,casa,venda,3666.7,2690.1,5555.6,25,,setembro/2026
Teresina,Esplanada,casa,venda,2426.6,1927.0,2982.8,20,,setembro/2026
Teresina,Fátima,casa,venda,4642.9,2792.4,6938.4,51,11.29,setembro/2026
Teresina,Fátima,casa,aluguel,43.7,31.1,56.2,13,11.29,setembro/2026
Teresina,Gurupi,casa,venda,5564.2,3730.9,7042.4,64,,setembro/2026
Teresina,Horto,casa,venda,4438.6,3637.8,6653.0,42,7.52,setembro/2026
Teresina,Horto,casa,aluguel,27.8,23.8,29.3,7,7.52,setembro/2026
Teresina,Ilhotas,casa,venda,2666.7,2272.7,4765.2,5,,setembro/2026
Teresina,Ininga,casa,venda,3989.4,3096.5,5307.8,139,7.58,setembro/2026
Teresina,Ininga,casa,aluguel,25.2,15.9,36.0,20,7.58,setembro/2026
Teresina,Itararé,casa,venda,2027.0,1620.2,2752.5,27,,setembro/2026
Teresina,Jóquei,casa,venda,5500.0,4010.7,11152.4,29,9.86,setembro/2026
Teresina,Jóquei,casa,aluguel,45.2,38.3,62.6,12,9.86,setembro/2026
Teresina,Lourival Parente,casa,venda,3181.7,2138.7,3809.8,34,,setembro/2026
Teresina,Macaúba,casa,venda,3077.6,2509.9,3881.1,18,,setembro/2026
Teresina,Mafua,casa,venda,2857.1,2328.8,3550.0,9,,setembro/2026
Teresina,Marquês,casa,venda,2412.8,2031.4,3125.0,6,,setembro/2026
