cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Porto Belo,Alto Perequê,apartamento,venda,13296.1,11416.5,17229.8,20,,setembro/2026
Porto Belo,Balneário Perequê,apartamento,venda,15777.7,13440.1,19297.9,175,3.84,setembro/2026
Porto Belo,Balneário Perequê,apartamento,aluguel,50.5,43.2,56.6,22,3.84,setembro/2026
Porto Belo,Centro,apartamento,venda,14720.0,12195.0,17887.6,19,1.21,setembro/2026
Porto Belo,Centro,apartamento,aluguel,14.8,6.2,17.5,5,1.21,setembro/2026
Porto Belo,Jardim Dourado,apartamento,venda,17333.3,14488.0,21868.4,55,,setembro/2026
Porto Belo,Pereque,apartamento,venda,15652.2,12777.8,19517.8,321,4.12,setembro/2026
Porto Belo,Pereque,apartamento,aluguel,53.7,48.1,59.9,12,4.12,setembro/2026
Porto Belo,Porto Belo,apartamento,venda,13488.5,10848.6,16531.3,11,,setembro/2026
Porto Belo,Vila Nova,apartamento,venda,12353.9,11192.9,13855.0,14,,setembro/2026
Porto Belo,Viva Park,apartamento,venda,20432.9,16604.5,23804.9,8,,setembro/2026
Porto Belo,Vivapark,apartamento,venda,17925.9,16596.4,19549.5,29,,setembro/2026
Porto Belo,Alto Perequê,casa,venda,7792.5,5057.7,9405.6,22,,setembro/2026
Porto Belo,Araçá,casa,venda,18235.3,14444.4,18285.7,5,,setembro/2026
Porto Belo,Balneário Perequê,casa,venda,8771.9,6745.3,12366.7,57,4.24,setembro/2026
Porto Belo,Balneário Perequê,casa,aluguel,31.0,15.0,54.3,10,4.24,setembro/2026
Porto Belo,Centro,casa,venda,9750.0,7100.9,14501.6,28,1.23,setembro/2026
Porto Belo,Centro,casa,aluguel,10.0,8.0,11.5,10,1.23,setembro/2026
Porto Belo,Jardim Dourado,casa,venda,9040.5,5845.2,14199.2,23,,setembro/2026
Porto Belo,Pereque,casa,venda,9357.3,6851.1,14186.7,26,,setembro/2026
Porto Belo,Vila Nova,casa,venda,7583.8,6493.3,9258.5,38,,setembro/2026
Porto Belo,Vivapark,casa,venda,17518.2,17241.4,18340.2,5,,setembro/2026
Porto Belo,Alto Perequê,terreno,venda,1837.8,1495.4,3125.0,17,,setembro/2026
Porto Belo,Araçá,terreno,venda,1639.8,996.4,3803.6,5,,setembro/2026
Porto Belo,Balneário Perequê,terreno,venda,5020.3,3594.1,7026.2,26,,setembro/2026
Porto Belo,Centro,terreno,venda,3301.3,1590.7,5866.0,36,,setembro/2026
Porto Belo,Jardim Dourado,terreno,venda,3617.2,3172.9,3861.5,22,,setembro/2026
Porto Belo,Pereque,terreno,venda,8000.0,3717.9,9135.8,5,,setembro/2026
Porto Belo,Santa Luzia,terreno,venda,7036.7,1626.8,10004.9,24,,setembro/2026
Porto Belo,Sertão de Santa Luzia,terreno,venda,9900.7,6479.7,10096.0,15,,setembro/2026
Porto Belo,Vila Nova,terreno,venda,2069.9,909.9,2254.6,6,,setembro/2026
Porto Belo,Balneário Perequê,sala,venda,13712.2,12963.0,17933.3,17,6.68,setembro/2026
Porto Belo,Balneário Perequê,sala,aluguel,76.3,63.3,115.0,12,6.68,setembro/2026
Porto Belo,Centro,sala,aluguel,69.3,56.0,74.5,6,,setembro/2026
Porto Belo,Jardim Dourado,sala,venda,20038.3,18564.3,22259.4,7,,setembro/2026
Porto Belo,Pereque,sala,venda,18820.2,16179.4,21416.1,5,,setembro/2026
