cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Curitiba,Abranches,casa,venda,5373.1,4974.6,6210.1,18,7.41,setembro/2026
Curitiba,Abranches,casa,aluguel,33.2,28.0,36.4,5,7.41,setembro/2026
Curitiba,Água Verde,casa,venda,6634.6,5692.0,8020.9,36,,setembro/2026
Curitiba,Ahú,casa,venda,7473.3,4554.5,9358.7,12,,setembro/2026
Curitiba,Alto Boqueirão,casa,venda,5447.5,4466.0,6465.7,22,7.53,setembro/2026
Curitiba,Alto Boqueirão,casa,aluguel,34.2,31.5,41.0,10,7.53,setembro/2026
Curitiba,Alto da XV,casa,venda,4946.0,4631.6,6438.6,8,,setembro/2026
Curitiba,Atuba,casa,venda,5980.9,4819.0,7041.2,14,4.86,setembro/2026
Curitiba,Atuba,casa,aluguel,24.2,18.2,43.0,13,4.86,setembro/2026
Curitiba,Bacacheri,casa,venda,6197.2,5022.7,7802.5,51,5.96,setembro/2026
Curitiba,Bacacheri,casa,aluguel,30.8,27.5,36.9,6,5.96,setembro/2026
Curitiba,Bairro Alto,casa,venda,5830.2,4885.6,7396.4,96,7.49,setembro/2026
Curitiba,Bairro Alto,casa,aluguel,36.4,26.4,44.9,24,7.49,setembro/2026
Curitiba,Barreirinha,casa,venda,5901.6,4765.2,6781.5,27,7.91,setembro/2026
Curitiba,Barreirinha,casa,aluguel,38.9,27.0,50.5,24,7.91,setembro/2026
Curitiba,Batel,casa,venda,10571.4,9206.3,13513.5,5,,setembro/2026
Curitiba,Bigorrilho,casa,venda,6633.9,6163.5,7605.3,5,,setembro/2026
Curitiba,Boa Vista,casa,venda,6198.3,5097.0,7187.2,70,6.25,setembro/2026
Curitiba,Boa Vista,casa,aluguel,32.3,26.1,35.6,28,6.25,setembro/2026
Curitiba,Bom Retiro,casa,venda,6571.4,6148.9,7571.4,21,6.23,setembro/2026
Curitiba,Bom Retiro,casa,aluguel,34.1,31.5,36.4,7,6.23,setembro/2026
Curitiba,Boqueirão,casa,venda,6035.8,4829.2,6978.6,26,6.3,setembro/2026
Curitiba,Boqueirão,casa,aluguel,31.7,25.5,40.5,35,6.3,setembro/2026
Curitiba,Butiatuvinha,casa,venda,10031.3,8516.0,10390.4,7,4.12,setembro/2026
Curitiba,Butiatuvinha,casa,aluguel,34.4,31.4,39.4,11,4.12,setembro/2026
Curitiba,Cachoeira,casa,venda,5612.2,4687.5,6416.7,13,,setembro/2026
Curitiba,Cajuru,casa,venda,5045.9,4089.5,6550.5,67,7.23,setembro/2026
Curitiba,Cajuru,casa,aluguel,30.4,23.7,33.8,14,7.23,setembro/2026
Curitiba,Campina do Siqueira,casa,venda,7248.9,6319.7,9760.6,31,,setembro/2026
Curitiba,Campo Comprido,casa,venda,8189.7,6509.1,10204.5,71,5.54,setembro/2026
Curitiba,Campo Comprido,casa,aluguel,37.8,33.2,48.2,10,5.54,setembro/2026
Curitiba,Campo de Santana,casa,venda,5390.6,4770.0,5959.8,19,6.05,setembro/2026
Curitiba,Campo de Santana,casa,aluguel,27.2,22.0,33.2,18,6.05,setembro/2026
Curitiba,Capão da Imbuia,casa,venda,6322.1,5549.1,7134.7,14,6.7,setembro/2026
Curitiba,Capão da Imbuia,casa,aluguel,35.3,34.9,36.4,5,6.7,setembro/2026
Curitiba,Capão Raso,casa,venda,6212.4,5434.0,6859.8,18,,setembro/2026
Curitiba,Cascatinha,casa,venda,10043.0,8337.0,11737.4,6,5.45,setembro/2026
Curitiba,Cascatinha,casa,aluguel,45.6,43.4,53.0,8,5.45,setembro/2026
Curitiba,Centro,casa,venda,7939.0,4579.2,11430.5,7,4.94,setembro/2026
Curitiba,Centro,casa,aluguel,32.7,21.6,46.0,6,4.94,setembro/2026
Curitiba,Centro Cívico,casa,venda,7244.4,5927.2,9217.9,6,,setembro/2026
Curitiba,Cidade Industrial,casa,venda,6459.3,4631.3,8707.0,10,4.64,setembro/2026
Curitiba,Cidade Industrial,casa,aluguel,25.0,17.5,30.3,17,4.64,setembro/2026
Curitiba,Cristo Rei,casa,venda,6063.5,5758.3,7124.9,10,,setembro/2026
Curitiba,Ecoville,casa,venda,9562.1,6983.9,12157.9,5,5.92,setembro/2026
Curitiba,Ecoville,casa,aluguel,47.2,36.8,61.7,9,5.92,setembro/2026
Curitiba,Fanny,casa,venda,6000.0,4988.1,7168.1,11,,setembro/2026
Curitiba,Fazendinha,casa,venda,4800.4,3085.8,5471.0,18,7.47,setembro/2026
Curitiba,Fazendinha,casa,aluguel,29.9,24.9,39.3,8,7.47,setembro/2026
Curitiba,Ganchinho,casa,venda,4923.1,4083.8,5838.7,40,,setembro/2026
Curitiba,Guabirotuba,casa,venda,6500.0,5308.2,7887.1,97,5.41,setembro/2026
Curitiba,Guabirotuba,casa,aluguel,29.3,24.6,36.7,21,5.41,setembro/2026
Curitiba,Guaíra,casa,venda,5816.4,4684.8,6419.1,50,5.78,setembro/2026
Curitiba,Guaíra,casa,aluguel,28.0,26.3,28.6,5,5.78,setembro/2026
Curitiba,Hauer,casa,venda,6029.4,5520.0,7894.7,17,,setembro/2026
Curitiba,Hugo Lange,casa,venda,7766.7,6940.0,9004.7,25,,setembro/2026
Curitiba,Jardim das Américas,casa,venda,6366.1,5663.6,6754.7,14,5.15,setembro/2026
Curitiba,Jardim das Américas,casa,aluguel,27.3,22.3,35.3,25,5.15,setembro/2026
Curitiba,Jardim Social,casa,venda,6828.8,5143.5,7911.4,17,6.17,setembro/2026
Curitiba,Jardim Social,casa,aluguel,35.1,27.0,42.4,16,6.17,setembro/2026
Curitiba,Juvevê,casa,venda,7959.2,7900.0,8108.1,5,,setembro/2026
Curitiba,Lindóia,casa,venda,5428.9,4068.2,6127.0,10,6.63,setembro/2026
Curitiba,Lindóia,casa,aluguel,30.0,19.9,33.2,9,6.63,setembro/2026
