cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Duque de Caxias,Amapá,casa,venda,1998.8,1449.4,3300.0,6,,setembro/2026
Duque de Caxias,Centro,casa,venda,2817.8,2288.0,3330.7,23,,setembro/2026
Duque de Caxias,Chácaras Arcampo,casa,venda,2717.7,2036.9,4284.1,22,,setembro/2026
Duque de Caxias,Chácaras Rio-Petrópolis,casa,venda,2171.4,1328.9,3072.9,44,8.07,setembro/2026
Duque de Caxias,Chácaras Rio-Petrópolis,casa,aluguel,14.6,14.5,14.9,6,8.07,setembro/2026
Duque de Caxias,Doutor Laureano,casa,venda,4727.3,3456.0,5117.4,7,,setembro/2026
Duque de Caxias,Engenho do Porto,casa,venda,2066.7,1750.0,3260.9,11,,setembro/2026
Duque de Caxias,Imbariê,casa,venda,1318.7,1015.5,2000.0,5,,setembro/2026
Duque de Caxias,Itatiaia,casa,venda,3666.7,3409.1,4433.2,5,,setembro/2026
Duque de Caxias,Jardim Barro Branco,casa,venda,2750.0,2500.0,3166.7,5,,setembro/2026
Duque de Caxias,Jardim Gramacho,casa,venda,2225.0,1593.4,3857.7,8,,setembro/2026
Duque de Caxias,Jardim Primavera,casa,venda,3120.0,1956.5,4550.6,57,,setembro/2026
Duque de Caxias,Jardim Rotsen,casa,venda,2083.3,1532.8,2754.4,8,,setembro/2026
Duque de Caxias,Jardim Vinte e Cinco de Agosto,casa,venda,4333.3,3416.7,6309.5,59,9.36,setembro/2026
Duque de Caxias,Jardim Vinte e Cinco de Agosto,casa,aluguel,33.8,24.5,37.5,7,9.36,setembro/2026
Duque de Caxias,Mantiquira,casa,venda,1892.9,1638.9,2317.7,7,,setembro/2026
Duque de Caxias,Nova Campinas,casa,venda,1758.9,1410.7,3174.9,6,,setembro/2026
Duque de Caxias,Olavo Bilac,casa,venda,2250.0,1611.1,3833.3,9,,setembro/2026
Duque de Caxias,Parque A Equitativa,casa,venda,4166.7,2674.3,4675.9,8,,setembro/2026
Duque de Caxias,Parque Duque,casa,venda,4113.8,2930.6,5080.4,8,,setembro/2026
Duque de Caxias,Parque Equitativa,casa,venda,1566.7,1322.7,2148.8,8,,setembro/2026
Duque de Caxias,Parque Fluminense,casa,venda,1955.3,1234.0,2091.6,14,,setembro/2026
Duque de Caxias,Parque Lafaiete,casa,venda,3200.0,1668.2,4208.8,19,,setembro/2026
Duque de Caxias,Parque Muísa,casa,venda,1150.0,1050.0,1520.0,5,,setembro/2026
Duque de Caxias,Parque Paulicéia,casa,venda,4857.1,2609.9,6542.1,17,4.94,setembro/2026
Duque de Caxias,Parque Paulicéia,casa,aluguel,20.0,17.1,21.1,5,4.94,setembro/2026
Duque de Caxias,Parque Paulista,casa,venda,1842.1,1388.9,2375.0,9,,setembro/2026
Duque de Caxias,Parque Senhor do Bonfim,casa,venda,2136.8,1660.9,3412.6,15,,setembro/2026
Duque de Caxias,Parque Uruguaiana,casa,venda,2222.2,2000.0,4000.0,5,,setembro/2026
Duque de Caxias,Santa Cruz da Serra,casa,venda,1488.7,1385.0,1979.2,6,,setembro/2026
Duque de Caxias,São Bento,casa,venda,1600.0,987.5,2086.5,7,,setembro/2026
Duque de Caxias,Saracuruna,casa,venda,2416.7,1826.7,3156.2,23,,setembro/2026
Duque de Caxias,Taquara,casa,venda,1555.6,1145.8,3125.0,15,,setembro/2026
Duque de Caxias,Vila Centenário,casa,venda,2671.4,1435.7,4221.1,6,,setembro/2026
Duque de Caxias,Vila Itamarati,casa,venda,4442.6,4100.0,4640.6,6,,setembro/2026
Duque de Caxias,Vila Leopoldina,casa,venda,2094.2,1684.4,3255.1,15,,setembro/2026
Duque de Caxias,Vila Maria Helena,casa,venda,2747.0,2067.5,3265.9,12,,setembro/2026
Duque de Caxias,Vila Santa Alice,casa,venda,4219.2,3287.5,5781.2,8,,setembro/2026
Duque de Caxias,Vila Santa Cruz,casa,venda,2142.9,1467.2,2441.5,14,,setembro/2026
Duque de Caxias,Vila São Luís,casa,venda,3125.0,2587.1,4110.6,23,,setembro/2026
Duque de Caxias,Vila São Sebastião,casa,venda,4473.7,3346.9,4760.4,7,,setembro/2026
Duque de Caxias,Xerém,casa,venda,2869.9,1600.0,4708.3,10,,setembro/2026
Duque de Caxias,Barra da Tijuca,apartamento,venda,9809.7,9172.3,11644.4,6,,setembro/2026
Duque de Caxias,Barro Branco,apartamento,venda,2788.5,2584.9,3000.0,7,,setembro/2026
Duque de Caxias,Centro,apartamento,venda,3694.4,2984.3,4628.3,30,,setembro/2026
Duque de Caxias,Chácaras Rio-Petrópolis,apartamento,venda,3777.8,3564.1,5289.1,11,,setembro/2026
Duque de Caxias,Engenho do Porto,apartamento,venda,3666.7,3028.6,3966.7,5,3.6,setembro/2026
Duque de Caxias,Engenho do Porto,apartamento,aluguel,11.0,9.0,11.9,6,3.6,setembro/2026
Duque de Caxias,Figueira,apartamento,venda,5849.0,4981.7,6902.0,6,,setembro/2026
Duque de Caxias,Jardim Anhangá,apartamento,venda,2857.1,2636.4,2888.9,5,,setembro/2026
Duque de Caxias,Jardim Gramacho,apartamento,venda,4031.3,3417.0,4482.3,6,7.77,setembro/2026
Duque de Caxias,Jardim Gramacho,apartamento,aluguel,26.1,19.9,27.4,6,7.77,setembro/2026
Duque de Caxias,Jardim Primavera,apartamento,venda,3280.7,2683.3,5156.8,46,,setembro/2026
Duque de Caxias,Jardim Vinte e Cinco de Agosto,apartamento,venda,5800.0,4545.5,6882.4,129,4.3,setembro/2026
Duque de Caxias,Jardim Vinte e Cinco de Agosto,apartamento,aluguel,20.8,17.4,24.8,15,4.3,setembro/2026
Duque de Caxias,Parque Duque,apartamento,venda,5454.5,4381.3,6333.3,11,,setembro/2026
Duque de Caxias,Parque Paulicéia,apartamento,venda,5666.7,5286.0,6454.8,19,,setembro/2026
Duque de Caxias,Santa Cruz da Serra,apartamento,venda,2912.9,2848.1,3101.6,8,,setembro/2026
Duque de Caxias,Saracuruna,apartamento,venda,3407.2,3001.8,3931.0,7,,setembro/2026
Duque de Caxias,Vila Centenário,apartamento,venda,3150.0,2735.7,3285.7,5,,setembro/2026
Duque de Caxias,Vila São Luís,apartamento,venda,4734.4,4408.5,5931.7,6,,setembro/2026
Duque de Caxias,Xerém,apartamento,venda,4856.4,4666.5,5028.8,6,,setembro/2026
Duque de Caxias,Capivari,terreno,venda,219.5,177.5,259.7,6,,setembro/2026
Duque de Caxias,Chácaras Arcampo,terreno,venda,500.0,200.0,558.8,5,,setembro/2026
Duque de Caxias,Chácaras Rio-Petrópolis,terreno,venda,163.3,91.0,345.2,47,,setembro/2026
Duque de Caxias,Parque A Equitativa,terreno,venda,750.0,407.4,833.3,5,,setembro/2026
Duque de Caxias,Parque Fluminense,terreno,venda,766.7,533.3,800.0,5,,setembro/2026
Duque de Caxias,Parque Paulista,terreno,venda,208.3,194.4,277.8,5,,setembro/2026
Duque de Caxias,Vila Maria Helena,terreno,venda,333.3,212.5,483.0,6,,setembro/2026
Duque de Caxias,Vila Santa Cruz,terreno,venda,618.9,490.4,719.4,8,,setembro/2026
Duque de Caxias,Xerém,terreno,venda,571.4,264.8,823.7,7,,setembro/2026
Duque de Caxias,Centro,sala,venda,6250.0,3605.0,8333.3,9,6.72,setembro/2026
Duque de Caxias,Centro,sala,aluguel,35.0,20.8,40.6,13,6.72,setembro/2026
Duque de Caxias,Chácaras Rio-Petrópolis,sala,aluguel,22.2,16.7,29.2,5,,setembro/2026
Duque de Caxias,Jardim Vinte e Cinco de Agosto,sala,venda,6904.8,5954.5,9153.8,20,5.77,setembro/2026
Duque de Caxias,Jardim Vinte e Cinco de Agosto,sala,aluguel,33.2,19.7,40.4,19,5.77,setembro/2026
Duque de Caxias,Santa Cruz da Serra,sala,aluguel,75.0,50.0,76.0,5,,setembro/2026
Duque de Caxias,Chácaras Rio-Petrópolis,galpao,venda,833.3,763.3,1341.7,11,20.45,setembro/2026
Duque de Caxias,Chácaras Rio-Petrópolis,galpao,aluguel,14.2,8.9,19.5,10,20.45,setembro/2026
Duque de Caxias,Jardim Gramacho,galpao,venda,1250.0,798.6,1301.9,5,,setembro/2026
Duque de Caxias,Parque Duque,galpao,aluguel,29.0,14.8,38.0,6,,setembro/2026
Duque de Caxias,Saracuruna,galpao,venda,985.9,714.3,1866.7,5,,setembro/2026
Duque de Caxias,Vila São Luís,galpao,venda,2250.0,1937.5,3875.0,7,11.2,setembro/2026
Duque de Caxias,Vila São Luís,galpao,aluguel,21.0,17.5,21.0,5,11.2,setembro/2026
