cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
São Gonçalo,Alcântara,casa,venda,3230.0,2413.0,4057.7,24,,setembro/2026
São Gonçalo,Almerinda,casa,venda,1380.6,1333.1,1934.7,7,,setembro/2026
São Gonçalo,Amendoeira,casa,venda,1888.9,1599.4,2948.5,15,,setembro/2026
São Gonçalo,Antonina,casa,venda,2381.0,2099.2,3298.9,15,,setembro/2026
São Gonçalo,Arsenal,casa,venda,2731.6,2175.0,3414.8,51,,setembro/2026
São Gonçalo,Barro Vermelho,casa,venda,2636.5,2000.0,3857.6,34,,setembro/2026
São Gonçalo,Boa Vista,casa,venda,2446.6,1833.3,3260.4,19,,setembro/2026
São Gonçalo,Boaçu,casa,venda,2298.7,1602.9,3628.8,12,,setembro/2026
São Gonçalo,Brasilândia,casa,venda,3261.6,2100.0,3968.3,25,,setembro/2026
São Gonçalo,Camarão,casa,venda,3039.4,2125.0,3704.2,22,,setembro/2026
São Gonçalo,Centro,casa,venda,2516.1,2155.3,3731.1,21,,setembro/2026
São Gonçalo,Coelho,casa,venda,2666.7,1384.6,3420.9,17,,setembro/2026
São Gonçalo,Colubande,casa,venda,2739.9,2137.4,3736.2,64,,setembro/2026
São Gonçalo,Covanca,casa,venda,2567.6,1950.0,4140.1,9,,setembro/2026
São Gonçalo,Engenho do Roçado,casa,venda,1055.6,911.7,1211.2,7,,setembro/2026
São Gonçalo,Engenho Pequeno,casa,venda,1780.3,1286.1,2432.5,7,,setembro/2026
São Gonçalo,Estrela do Norte,casa,venda,2678.6,2041.5,3000.0,13,,setembro/2026
São Gonçalo,Galo Branco,casa,venda,2898.6,2223.0,3741.1,42,,setembro/2026
São Gonçalo,Gradim,casa,venda,2125.0,1341.1,3268.9,6,,setembro/2026
São Gonçalo,Ipiiba,casa,venda,2808.4,1669.2,3884.8,10,,setembro/2026
São Gonçalo,Jardim Catarina,casa,venda,2022.7,1295.7,2797.6,36,,setembro/2026
São Gonçalo,Jóquei Clube,casa,venda,2325.6,1905.6,2861.1,11,,setembro/2026
São Gonçalo,Lagoinha,casa,venda,3500.0,3000.0,3785.7,7,,setembro/2026
São Gonçalo,Laranjal,casa,venda,3329.3,2590.5,4105.7,62,,setembro/2026
São Gonçalo,Lindo Parque,casa,venda,1382.7,1253.6,1992.7,10,,setembro/2026
São Gonçalo,Marambaia,casa,venda,2857.1,1625.0,3472.7,19,,setembro/2026
São Gonçalo,Maria Paula,casa,venda,3373.2,2621.9,3770.3,42,,setembro/2026
São Gonçalo,Monjolo,casa,venda,2132.6,1666.7,2622.5,7,,setembro/2026
São Gonçalo,Mutondo,casa,venda,3122.2,2213.6,4093.4,34,,setembro/2026
São Gonçalo,Mutuá,casa,venda,2815.1,1671.9,3737.5,58,,setembro/2026
São Gonçalo,Mutuaguaçu,casa,venda,2410.7,2142.9,2727.3,5,,setembro/2026
São Gonçalo,Neves,casa,venda,2533.3,1916.7,3333.3,13,,setembro/2026
São Gonçalo,Nova Cidade,casa,venda,2099.1,1719.3,3090.9,29,,setembro/2026
São Gonçalo,Pacheco,casa,venda,2666.7,1642.7,3054.0,32,,setembro/2026
São Gonçalo,Parada 40,casa,venda,3888.9,3411.8,4074.1,9,,setembro/2026
São Gonçalo,Paraíso,casa,venda,3076.9,1851.6,3675.0,23,,setembro/2026
São Gonçalo,Pita,casa,venda,1906.6,1386.8,2854.4,18,,setembro/2026
São Gonçalo,Porto da Madama,casa,venda,3014.3,2236.6,3327.1,8,,setembro/2026
São Gonçalo,Porto da Pedra,casa,venda,1759.5,1232.0,2437.4,16,,setembro/2026
São Gonçalo,Porto do Rosa,casa,venda,1333.3,1301.7,2462.5,8,,setembro/2026
São Gonçalo,Porto Novo,casa,venda,2319.8,2089.3,3532.8,30,,setembro/2026
São Gonçalo,Porto Velho,casa,venda,2933.3,2142.9,4444.4,17,,setembro/2026
São Gonçalo,Raul Veiga,casa,venda,2663.8,2062.5,3275.2,32,,setembro/2026
São Gonçalo,Rio do Ouro,casa,venda,2291.9,1695.8,4336.1,40,,setembro/2026
São Gonçalo,Rocha,casa,venda,3095.2,2541.7,3909.3,30,,setembro/2026
São Gonçalo,Santa Catarina,casa,venda,2187.2,2000.0,2812.5,16,,setembro/2026
São Gonçalo,Santa Isabel,casa,venda,2484.5,1619.0,3448.3,13,,setembro/2026
