cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Natal,Alecrim,casa,venda,1901.5,1370.9,2858.2,38,,setembro/2026
Natal,Barro Vermelho,casa,venda,1923.9,1716.7,2625.7,42,9.36,setembro/2026
Natal,Barro Vermelho,casa,aluguel,15.0,11.0,20.0,5,9.36,setembro/2026
Natal,Candelária,casa,venda,3145.2,2400.0,5381.1,28,,setembro/2026
Natal,Capim Macio,casa,venda,2950.9,2380.6,4138.6,56,,setembro/2026
Natal,Cidade Alta,casa,venda,1818.2,1687.9,2133.3,13,,setembro/2026
Natal,Igapó,casa,venda,1236.3,1125.2,1565.3,8,,setembro/2026
Natal,Lagoa Nova,casa,venda,2702.7,2112.6,3261.4,79,11.19,setembro/2026
Natal,Lagoa Nova,casa,aluguel,25.2,17.9,32.7,10,11.19,setembro/2026
Natal,Lagoa Seca,casa,venda,2400.8,2271.4,2575.0,6,,setembro/2026
Natal,Neópolis,casa,venda,2459.0,1900.0,4500.0,45,8.3,setembro/2026
Natal,Neópolis,casa,aluguel,17.0,16.5,26.4,5,8.3,setembro/2026
Natal,Nordeste,casa,venda,1666.1,1101.8,1951.9,6,,setembro/2026
Natal,Nossa Senhora de Nazaré,casa,venda,2261.4,2008.5,2608.5,18,,setembro/2026
Natal,Nova Descoberta,casa,venda,3257.6,3000.0,3399.8,7,,setembro/2026
Natal,Pajuçara,casa,venda,1558.8,1285.7,1866.7,21,,setembro/2026
Natal,Petrópolis,casa,venda,2891.2,2294.0,5434.8,13,,setembro/2026
Natal,Pitimbu,casa,venda,3635.7,1925.4,7159.8,22,,setembro/2026
Natal,Ponta Negra,casa,venda,3809.5,2702.7,5833.3,49,5.92,setembro/2026
Natal,Ponta Negra,casa,aluguel,18.8,9.6,32.9,7,5.92,setembro/2026
Natal,Potengi,casa,venda,2067.7,1262.7,2364.5,10,,setembro/2026
Natal,Redinha,casa,venda,1784.8,1458.8,1995.4,10,,setembro/2026
Natal,Tirol,casa,venda,4252.8,2554.5,5185.9,16,6.35,setembro/2026
Natal,Tirol,casa,aluguel,22.5,17.5,27.0,5,6.35,setembro/2026
