cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Parnamirim,Cajupiranga,casa,venda,4318.9,2512.5,4911.9,43,,setembro/2026
Parnamirim,Cotovelo (Distrito Litoral),casa,venda,3663.3,1630.1,4411.1,7,,setembro/2026
Parnamirim,Emaús,casa,venda,3257.2,2677.4,3736.2,24,,setembro/2026
Parnamirim,Liberdade,casa,venda,3200.2,2993.2,5640.1,7,,setembro/2026
Parnamirim,Nova Esperança,casa,venda,3262.3,2659.4,3397.7,11,,setembro/2026
Parnamirim,Nova Parnamirim,casa,venda,2983.9,2278.6,4047.6,76,,setembro/2026
Parnamirim,Parque das Árvores,casa,venda,4326.9,3166.2,4771.9,6,,setembro/2026
Parnamirim,Parque das Nações,casa,venda,4579.2,3796.2,5410.1,86,,setembro/2026
Parnamirim,Parque do Jiqui,casa,venda,6046.5,5055.1,6999.2,34,,setembro/2026
Parnamirim,Passagem de Areia,casa,venda,4470.7,4097.7,4716.5,5,,setembro/2026
Parnamirim,Pirangi do Norte (Distrito Litoral),casa,venda,4333.3,2666.7,4730.4,9,,setembro/2026
Parnamirim,Pium (Distrito Litoral),casa,venda,6645.3,6189.7,8141.8,18,,setembro/2026
Parnamirim,Vale do Sol,casa,venda,2590.4,2000.0,2986.3,5,,setembro/2026
Parnamirim,Cajupiranga,apartamento,venda,7410.5,5000.0,9055.8,13,,setembro/2026
Parnamirim,Cotovelo (Distrito Litoral),apartamento,venda,9205.3,7861.6,10888.9,21,,setembro/2026
Parnamirim,Emaús,apartamento,venda,5014.1,4503.5,7082.9,12,,setembro/2026
Parnamirim,Nova Parnamirim,apartamento,venda,5000.0,3851.4,6298.1,65,6.77,setembro/2026
Parnamirim,Nova Parnamirim,apartamento,aluguel,28.2,23.3,33.1,13,6.77,setembro/2026
Parnamirim,Parque das Árvores,apartamento,venda,4164.2,3857.1,4544.1,9,,setembro/2026
Parnamirim,Parque das Nações,apartamento,venda,6256.5,3807.6,9053.0,36,,setembro/2026
Parnamirim,Parque do Jiqui,apartamento,venda,7559.0,4251.0,9868.2,9,,setembro/2026
Parnamirim,Pirangi do Norte,apartamento,venda,14694.5,13515.3,16166.7,10,,setembro/2026
Parnamirim,Pirangi do Norte (Distrito Litoral),apartamento,venda,8418.4,7124.3,12271.8,17,,setembro/2026
Parnamirim,Pium (Distrito Litoral),apartamento,venda,8534.7,5756.8,10609.9,23,5.68,setembro/2026
Parnamirim,Pium (Distrito Litoral),apartamento,aluguel,40.4,31.5,41.2,7,5.68,setembro/2026
Parnamirim,Vida Nova,apartamento,venda,3599.5,3580.0,4775.4,5,,setembro/2026
Parnamirim,Cajupiranga,terreno,venda,685.0,495.2,857.8,21,,setembro/2026
Parnamirim,Cotovelo (Distrito Litoral),terreno,venda,937.5,883.4,1031.2,9,,setembro/2026
Parnamirim,Emaús,terreno,venda,681.9,561.3,873.5,10,,setembro/2026
Parnamirim,Liberdade,terreno,venda,451.7,319.1,555.6,5,,setembro/2026
Parnamirim,Nova Esperança,terreno,venda,457.6,166.7,732.1,5,,setembro/2026
Parnamirim,Nova Parnamirim,terreno,venda,725.4,536.4,1305.8,32,,setembro/2026
Parnamirim,Parque das Árvores,terreno,venda,545.5,260.3,836.3,7,,setembro/2026
Parnamirim,Parque das Nações,terreno,venda,735.7,589.0,919.5,36,,setembro/2026
Parnamirim,Parque do Jiqui,terreno,venda,357.4,350.0,510.6,5,,setembro/2026
Parnamirim,Pirangi do Norte (Distrito Litoral),terreno,venda,679.8,575.1,773.4,8,,setembro/2026
Parnamirim,Pium (Distrito Litoral),terreno,venda,1006.7,980.0,1083.3,11,,setembro/2026
Parnamirim,Vida Nova,terreno,venda,720.0,423.7,1000.0,5,,setembro/2026
