cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Porto Velho,Aeroclube,casa,venda,5268.7,3197.8,6678.2,78,,setembro/2026
Porto Velho,Agenor de Carvalho,casa,venda,2716.1,2048.8,3706.6,38,7.38,setembro/2026
Porto Velho,Agenor de Carvalho,casa,aluguel,16.7,14.0,20.0,5,7.38,setembro/2026
Porto Velho,Agenor M. de Carvalho,casa,venda,2517.3,2183.8,3042.8,18,,setembro/2026
Porto Velho,Alphaville,casa,venda,6986.9,6022.7,7357.8,7,,setembro/2026
Porto Velho,Aponiã,casa,venda,3560.0,2166.7,6562.5,125,,setembro/2026
Porto Velho,Areal,casa,venda,1842.1,1408.6,3021.3,15,,setembro/2026
Porto Velho,Bairro Industrial,casa,venda,5360.4,4821.4,6567.3,12,,setembro/2026
Porto Velho,Bairro Novo,casa,venda,4430.6,3494.6,5461.3,32,,setembro/2026
Porto Velho,Baixa União,casa,venda,2500.0,1782.1,3552.8,7,,setembro/2026
Porto Velho,Caiari,casa,venda,2759.7,1660.8,3718.8,8,,setembro/2026
Porto Velho,Caladinho,casa,venda,1771.6,1369.6,2250.0,9,,setembro/2026
Porto Velho,Castanheira,casa,venda,1875.0,1600.0,3206.7,25,,setembro/2026
Porto Velho,Centro,casa,venda,2500.0,1771.2,3615.2,15,,setembro/2026
Porto Velho,Cidade Jardim,casa,venda,6383.0,5098.3,7443.2,27,,setembro/2026
Porto Velho,Cidade Nova,casa,venda,2053.7,1282.1,2328.1,6,,setembro/2026
Porto Velho,Cohab,casa,venda,2449.7,2154.4,3622.7,20,,setembro/2026
Porto Velho,Conceição,casa,venda,2083.3,1600.0,3021.7,23,,setembro/2026
Porto Velho,Costa e Silva,casa,venda,5825.2,3582.6,7444.0,43,,setembro/2026
Porto Velho,Cuniã,casa,venda,2303.0,1880.0,3090.9,34,,setembro/2026
Porto Velho,Eldorado,casa,venda,2926.5,1737.5,5865.2,24,,setembro/2026
Porto Velho,Eletronorte,casa,venda,3203.5,1778.2,3915.8,11,,setembro/2026
Porto Velho,Embratel,casa,venda,2862.6,2204.7,4955.0,33,6.75,setembro/2026
