cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Boa Vista,Caçari,casa,venda,6666.7,5405.0,8311.1,27,,setembro/2026
Boa Vista,Caimbé,casa,venda,2132.0,1541.5,2900.0,5,,setembro/2026
Boa Vista,Cauamé,casa,venda,4333.3,3000.0,4523.8,5,,setembro/2026
Boa Vista,Centenário,casa,venda,3930.0,3423.5,5228.8,6,,setembro/2026
Boa Vista,Centro,casa,venda,3720.8,3120.5,6240.7,7,,setembro/2026
Boa Vista,Cidade Satélite,casa,venda,3268.0,1767.4,4318.2,19,,setembro/2026
Boa Vista,Cinturão Verde,casa,venda,3408.6,2683.1,3745.6,6,,setembro/2026
Boa Vista,Jardim Floresta,casa,venda,4192.8,2286.0,6041.7,6,,setembro/2026
Boa Vista,Mecejana,casa,venda,4918.0,3458.7,5136.4,7,,setembro/2026
Boa Vista,Nossa Senhora Aparecida,casa,venda,5882.4,5544.9,5952.4,5,,setembro/2026
Boa Vista,Paraviana,casa,venda,6217.6,5277.8,7590.8,21,,setembro/2026
Boa Vista,Pricumã,casa,venda,4119.5,2828.4,5052.4,6,,setembro/2026
Boa Vista,São Francisco,casa,venda,4900.0,3481.0,6250.0,5,,setembro/2026
Boa Vista,Caçari,terreno,venda,946.8,731.2,1146.8,14,,setembro/2026
Boa Vista,Paraviana,terreno,venda,886.4,825.3,962.4,7,,setembro/2026
