cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Porto Alegre,Aberta dos Morros,casa,venda,4090.8,3277.3,5227.6,114,7.45,setembro/2026
Porto Alegre,Aberta dos Morros,casa,aluguel,25.4,15.8,30.3,28,7.45,setembro/2026
Porto Alegre,Agronomia,casa,venda,4711.7,3403.2,6310.6,20,,setembro/2026
Porto Alegre,Anchieta,casa,venda,4333.3,2130.8,5500.0,7,,setembro/2026
Porto Alegre,Arquipélago,casa,venda,4444.4,2466.3,8692.3,7,,setembro/2026
Porto Alegre,Auxiliadora,casa,venda,5681.8,3899.1,6913.0,17,7.77,setembro/2026
Porto Alegre,Auxiliadora,casa,aluguel,36.8,35.7,40.3,8,7.77,setembro/2026
Porto Alegre,Azenha,casa,venda,4158.6,3788.4,5152.8,16,7.82,setembro/2026
Porto Alegre,Azenha,casa,aluguel,27.1,20.2,34.3,6,7.82,setembro/2026
Porto Alegre,Bela Vista,casa,venda,5859.8,4581.6,9459.4,27,6.82,setembro/2026
Porto Alegre,Bela Vista,casa,aluguel,33.3,27.3,36.4,11,6.82,setembro/2026
Porto Alegre,Belém Novo,casa,venda,6624.5,4191.7,9331.2,50,4.4,setembro/2026
Porto Alegre,Belém Novo,casa,aluguel,24.3,18.7,42.2,10,4.4,setembro/2026
Porto Alegre,Belém Velho,casa,venda,3111.1,1862.1,5272.7,13,8.49,setembro/2026
Porto Alegre,Belém Velho,casa,aluguel,22.0,16.5,24.8,5,8.49,setembro/2026
Porto Alegre,Boa Vista,casa,venda,5839.6,4634.9,7630.3,28,6.84,setembro/2026
Porto Alegre,Boa Vista,casa,aluguel,33.3,22.8,50.0,13,6.84,setembro/2026
Porto Alegre,Bom Fim,casa,venda,4905.9,4083.3,10250.0,9,,setembro/2026
Porto Alegre,Bom Jesus,casa,venda,3693.6,2920.2,4471.3,12,,setembro/2026
Porto Alegre,Camaquã,casa,venda,3895.7,3253.9,4633.4,36,7.98,setembro/2026
Porto Alegre,Camaquã,casa,aluguel,25.9,19.5,31.8,20,7.98,setembro/2026
Porto Alegre,Campo Novo,casa,venda,4765.4,3215.7,5381.0,36,6.17,setembro/2026
Porto Alegre,Campo Novo,casa,aluguel,24.5,20.1,28.4,22,6.17,setembro/2026
Porto Alegre,Cascata,casa,venda,2517.7,1711.5,3444.6,32,,setembro/2026
Porto Alegre,Cavalhada,casa,venda,3992.6,3233.1,4947.8,57,7.33,setembro/2026
Porto Alegre,Cavalhada,casa,aluguel,24.4,19.8,41.2,14,7.33,setembro/2026
Porto Alegre,Centro,casa,venda,4348.7,3964.5,5605.7,8,,setembro/2026
Porto Alegre,Centro Histórico,casa,venda,5468.8,4081.8,6511.2,15,8.65,setembro/2026
