cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
São Francisco do Sul,Acaraí,casa,venda,4032.3,2426.0,5500.0,69,7.44,setembro/2026
São Francisco do Sul,Acaraí,casa,aluguel,25.0,21.5,33.0,6,7.44,setembro/2026
São Francisco do Sul,Água Branca,casa,venda,4888.9,3813.6,6090.9,69,5.01,setembro/2026
São Francisco do Sul,Água Branca,casa,aluguel,20.4,14.9,21.7,8,5.01,setembro/2026
São Francisco do Sul,Capri,casa,venda,5244.4,4250.0,6538.5,33,,setembro/2026
São Francisco do Sul,Centro,casa,venda,4533.3,3333.3,5967.1,89,5.98,setembro/2026
São Francisco do Sul,Centro,casa,aluguel,22.6,16.4,31.2,12,5.98,setembro/2026
São Francisco do Sul,Enseada,casa,venda,5655.0,3984.0,7142.9,173,4.24,setembro/2026
São Francisco do Sul,Enseada,casa,aluguel,20.0,18.5,27.6,19,4.24,setembro/2026
São Francisco do Sul,Ervino,casa,venda,3937.5,2600.0,5322.6,209,,setembro/2026
São Francisco do Sul,Forte,casa,venda,5736.6,4978.1,6813.0,10,,setembro/2026
São Francisco do Sul,Iperoba,casa,venda,4419.2,2961.0,6077.4,80,5.1,setembro/2026
São Francisco do Sul,Iperoba,casa,aluguel,18.8,10.0,22.5,9,5.1,setembro/2026
São Francisco do Sul,Itaguaçu,casa,venda,6223.1,4471.2,7703.4,128,5.23,setembro/2026
São Francisco do Sul,Itaguaçu,casa,aluguel,27.1,21.2,33.1,7,5.23,setembro/2026
São Francisco do Sul,Majorca,casa,venda,3122.9,2781.2,4028.9,6,,setembro/2026
São Francisco do Sul,Morro Grande,casa,venda,2375.0,1698.7,2406.0,7,,setembro/2026
São Francisco do Sul,Paulas,casa,venda,3435.8,2711.8,4729.5,72,8.03,setembro/2026
São Francisco do Sul,Paulas,casa,aluguel,23.0,20.1,26.5,6,8.03,setembro/2026
São Francisco do Sul,Praia Grande,casa,venda,5606.7,4032.3,7222.2,109,3.92,setembro/2026
São Francisco do Sul,Praia Grande,casa,aluguel,18.3,13.4,25.4,11,3.92,setembro/2026
São Francisco do Sul,Prainha,casa,venda,6165.8,5227.5,7857.1,44,,setembro/2026
São Francisco do Sul,Reta,casa,venda,4141.2,3354.8,5357.1,57,,setembro/2026
São Francisco do Sul,Rocio Grande,casa,venda,4455.8,3160.1,5755.5,114,7.54,setembro/2026
São Francisco do Sul,Rocio Grande,casa,aluguel,28.0,24.8,32.0,9,7.54,setembro/2026
São Francisco do Sul,Rocio Pequeno,casa,venda,4273.8,2348.0,5544.2,52,,setembro/2026
São Francisco do Sul,Sandra Regina,casa,venda,4529.3,2920.7,5355.8,36,4.35,setembro/2026
São Francisco do Sul,Sandra Regina,casa,aluguel,16.4,12.8,18.3,5,4.35,setembro/2026
São Francisco do Sul,São José do Acaraí,casa,venda,3636.4,2878.8,4945.1,29,,setembro/2026
São Francisco do Sul,Ubatuba,casa,venda,4909.1,3437.4,6691.1,427,5.77,setembro/2026
São Francisco do Sul,Ubatuba,casa,aluguel,23.6,15.8,30.6,26,5.77,setembro/2026
São Francisco do Sul,Vila da Glória,casa,venda,3316.7,2858.9,4490.1,19,,setembro/2026
São Francisco do Sul,Acaraí,apartamento,venda,6891.9,6074.5,11256.2,10,,setembro/2026
São Francisco do Sul,Água Branca,apartamento,venda,5849.1,5057.8,7653.9,19,,setembro/2026
São Francisco do Sul,Centro,apartamento,venda,7205.5,4792.4,9909.0,12,3.78,setembro/2026
São Francisco do Sul,Centro,apartamento,aluguel,22.7,18.0,28.8,9,3.78,setembro/2026
São Francisco do Sul,Enseada,apartamento,venda,7050.0,5553.6,8398.6,31,4.8,setembro/2026
São Francisco do Sul,Enseada,apartamento,aluguel,28.2,22.3,36.2,20,4.8,setembro/2026
São Francisco do Sul,Ervino,apartamento,venda,6142.9,5838.5,6875.8,7,,setembro/2026
São Francisco do Sul,Itaguaçu,apartamento,venda,9547.9,7719.9,10670.4,27,3.91,setembro/2026
São Francisco do Sul,Itaguaçu,apartamento,aluguel,31.1,21.2,39.4,7,3.91,setembro/2026
São Francisco do Sul,Praia Grande,apartamento,venda,8636.4,7065.7,11534.9,8,3.21,setembro/2026
São Francisco do Sul,Praia Grande,apartamento,aluguel,23.1,20.7,29.4,6,3.21,setembro/2026
São Francisco do Sul,Prainha,apartamento,venda,9700.0,8400.1,10411.0,9,2.65,setembro/2026
São Francisco do Sul,Prainha,apartamento,aluguel,21.4,19.2,30.0,9,2.65,setembro/2026
São Francisco do Sul,Rocio Grande,apartamento,venda,5500.0,4756.5,7142.9,17,6.2,setembro/2026
São Francisco do Sul,Rocio Grande,apartamento,aluguel,28.4,25.6,30.0,5,6.2,setembro/2026
São Francisco do Sul,Rocio Pequeno,apartamento,venda,6093.5,5806.5,6520.2,9,,setembro/2026
São Francisco do Sul,Ubatuba,apartamento,venda,6745.8,5217.3,8438.6,41,4.43,setembro/2026
São Francisco do Sul,Ubatuba,apartamento,aluguel,24.9,22.5,31.9,12,4.43,setembro/2026
São Francisco do Sul,Acaraí,terreno,venda,623.8,359.3,800.7,36,,setembro/2026
São Francisco do Sul,Água Branca,terreno,venda,675.1,395.9,895.8,26,,setembro/2026
São Francisco do Sul,Capri,terreno,venda,690.5,649.7,751.2,14,,setembro/2026
São Francisco do Sul,Centro,terreno,venda,828.6,576.5,1269.6,56,,setembro/2026
São Francisco do Sul,Enseada,terreno,venda,1236.5,1067.6,1745.1,24,,setembro/2026
São Francisco do Sul,Ervino,terreno,venda,425.5,285.7,678.6,161,,setembro/2026
São Francisco do Sul,Forte,terreno,venda,779.8,574.1,984.2,8,,setembro/2026
São Francisco do Sul,Gamboa,terreno,venda,401.2,168.0,520.0,5,,setembro/2026
São Francisco do Sul,Iperoba,terreno,venda,702.0,402.1,810.8,62,,setembro/2026
São Francisco do Sul,Itaguaçu,terreno,venda,1034.0,760.1,1597.2,35,,setembro/2026
São Francisco do Sul,Laranjeiras,terreno,venda,280.4,97.5,299.4,7,,setembro/2026
São Francisco do Sul,Majorca,terreno,venda,500.0,455.3,563.4,10,,setembro/2026
São Francisco do Sul,Paulas,terreno,venda,628.6,420.6,855.1,29,,setembro/2026
São Francisco do Sul,Praia Grande,terreno,venda,1407.0,908.3,1582.9,19,,setembro/2026
São Francisco do Sul,Reta,terreno,venda,411.6,309.5,581.4,55,,setembro/2026
São Francisco do Sul,Rocio Grande,terreno,venda,414.5,237.4,773.5,58,,setembro/2026
São Francisco do Sul,Rocio Pequeno,terreno,venda,490.0,368.9,686.2,30,,setembro/2026
São Francisco do Sul,Sandra Regina,terreno,venda,480.3,371.8,590.0,40,,setembro/2026
São Francisco do Sul,São José do Acaraí,terreno,venda,559.1,359.3,687.8,20,,setembro/2026
São Francisco do Sul,Tapera,terreno,venda,194.4,176.5,238.1,5,,setembro/2026
São Francisco do Sul,Ubatuba,terreno,venda,694.0,519.9,1000.0,138,,setembro/2026
São Francisco do Sul,Vila da Glória,terreno,venda,375.6,305.6,433.8,24,,setembro/2026
São Francisco do Sul,Centro,sala,aluguel,41.2,28.3,50.0,26,,setembro/2026
São Francisco do Sul,Iperoba,sala,aluguel,50.0,41.7,88.9,5,,setembro/2026
São Francisco do Sul,Rocio Pequeno,sala,aluguel,43.4,40.1,58.1,6,,setembro/2026
São Francisco do Sul,Ubatuba,sala,aluguel,31.9,22.8,46.9,6,,setembro/2026
