cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Aracaju,Aeroporto,apartamento,venda,4711.5,4143.5,5858.1,19,6.83,setembro/2026
Aracaju,Aeroporto,apartamento,aluguel,26.8,23.3,28.3,7,6.83,setembro/2026
Aracaju,Aruana,apartamento,venda,5846.2,4825.0,8870.3,55,6.06,setembro/2026
Aracaju,Aruana,apartamento,aluguel,29.5,24.3,36.8,14,6.06,setembro/2026
Aracaju,Atalaia,apartamento,venda,7827.6,6525.6,10010.7,72,7.79,setembro/2026
Aracaju,Atalaia,apartamento,aluguel,50.8,36.3,69.9,19,7.79,setembro/2026
Aracaju,Centro,apartamento,venda,2875.0,2111.1,3061.2,17,18.37,setembro/2026
Aracaju,Centro,apartamento,aluguel,44.0,24.2,49.2,7,18.37,setembro/2026
Aracaju,Coroa do Meio,apartamento,venda,7397.2,5203.6,10989.6,58,7.66,setembro/2026
Aracaju,Coroa do Meio,apartamento,aluguel,47.2,25.0,76.0,18,7.66,setembro/2026
Aracaju,Dezoito do Forte,apartamento,venda,4153.8,3843.3,4234.9,7,,setembro/2026
Aracaju,Dom Luciano,apartamento,venda,3750.0,2961.1,3912.1,7,,setembro/2026
Aracaju,Farolândia,apartamento,venda,6576.5,5509.1,7810.9,66,8.27,setembro/2026
Aracaju,Farolândia,apartamento,aluguel,45.3,33.1,57.8,20,8.27,setembro/2026
Aracaju,Grageru,apartamento,venda,4754.8,3922.1,5842.2,60,7.47,setembro/2026
Aracaju,Grageru,apartamento,aluguel,29.6,24.6,37.9,6,7.47,setembro/2026
Aracaju,Inácio Barbosa,apartamento,venda,4715.7,4296.9,5868.8,30,7.99,setembro/2026
Aracaju,Inácio Barbosa,apartamento,aluguel,31.4,25.7,41.3,11,7.99,setembro/2026
Aracaju,Jabotiana,apartamento,venda,4836.2,4103.8,5867.2,52,7.02,setembro/2026
Aracaju,Jabotiana,apartamento,aluguel,28.3,22.9,30.8,17,7.02,setembro/2026
