cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Arujá,Aruja 5,casa,venda,9535.1,7648.6,11680.0,12,,setembro/2026
Arujá,Arujá Country Club,casa,venda,5494.5,5484.8,7366.8,5,,setembro/2026
Arujá,Arujá Hills-3,casa,venda,8285.6,6558.8,9190.3,6,,setembro/2026
Arujá,"Arujázinho I, II e III",casa,venda,5050.5,3811.4,8701.3,12,,setembro/2026
Arujá,Caputera,casa,venda,6390.8,4675.4,9473.7,37,,setembro/2026
Arujá,Centro,casa,venda,5538.1,4920.8,7364.4,28,,setembro/2026
Arujá,Jardim das Cerejeiras,casa,venda,9107.1,9000.0,9821.4,5,,setembro/2026
Arujá,Jardim Fazenda Rincão,casa,venda,10386.9,9000.0,12418.0,29,,setembro/2026
Arujá,Jardim Fazenda Rincao - Aruja V,casa,venda,9984.8,8000.0,11345.8,19,,setembro/2026
Arujá,Jardim Imperial Hills III,casa,venda,7698.9,6571.7,9695.0,26,6.64,setembro/2026
Arujá,Jardim Imperial Hills III,casa,aluguel,42.6,32.1,46.1,7,6.64,setembro/2026
Arujá,Parque Maringá,casa,venda,10353.4,9950.5,10843.2,6,,setembro/2026
Arujá,Perobal,casa,venda,4999.5,4166.7,5666.7,9,,setembro/2026
Arujá,Perová,casa,venda,9479.9,7216.5,10796.9,18,,setembro/2026
Arujá,Portão,casa,venda,4370.2,3828.6,6039.1,8,,setembro/2026
Arujá,Residencial Real Park,casa,venda,10161.3,8966.7,11531.2,49,7.32,setembro/2026
Arujá,Residencial Real Park,casa,aluguel,62.0,53.5,62.9,5,7.32,setembro/2026
Arujá,São Bento,casa,venda,9339.6,6202.4,11297.3,10,,setembro/2026
Arujá,Jordanópolis,apartamento,venda,9763.4,9525.7,11176.5,9,,setembro/2026
Arujá,Caputera,terreno,venda,1147.5,672.4,3321.4,6,,setembro/2026
Arujá,Perobal,terreno,venda,950.1,855.0,1510.1,6,,setembro/2026
Arujá,Perová,terreno,venda,696.2,431.4,825.0,6,,setembro/2026
Arujá,Portão,terreno,venda,1593.5,1324.9,1997.6,10,,setembro/2026
Arujá,São Bento,terreno,venda,530.8,108.1,1182.2,7,,setembro/2026
Arujá,Perobal,galpao,aluguel,30.4,30.0,32.3,5,,setembro/2026
Arujá,Portão,galpao,aluguel,35.1,30.0,37.3,11,,setembro/2026
