cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Caçapava,Bairro do Grama,casa,venda,7364.0,6669.2,8043.0,42,,setembro/2026
Caçapava,Borda da Mata,casa,venda,3371.1,2888.4,4484.6,16,,setembro/2026
Caçapava,Caçapava Velha,casa,venda,6497.4,5059.2,7242.0,14,,setembro/2026
Caçapava,Centro,casa,venda,4584.6,3858.7,6085.4,12,,setembro/2026
Caçapava,Jardim Amália,casa,venda,4179.8,3033.7,5087.7,14,,setembro/2026
Caçapava,Jardim Caçapava,casa,venda,7037.0,5743.2,9649.1,5,,setembro/2026
Caçapava,Jardim Maria Cândida,casa,venda,4087.5,3138.2,5107.1,28,,setembro/2026
Caçapava,Jardim Panorama,casa,venda,2425.8,1764.9,3991.8,12,,setembro/2026
Caçapava,Jardim Rafael,casa,venda,3270.8,2832.8,3969.7,10,,setembro/2026
Caçapava,Jardim São José,casa,venda,3342.1,2542.5,3983.0,8,,setembro/2026
Caçapava,Jardim Terras do Vale,casa,venda,7437.9,6740.9,7759.3,18,,setembro/2026
Caçapava,Malibu,casa,venda,7066.7,6818.2,8056.0,5,,setembro/2026
Caçapava,Parque do Museu,casa,venda,4934.1,4173.2,5875.0,20,,setembro/2026
Caçapava,Parque Residencial Eldorado,casa,venda,3178.0,2431.3,3885.8,6,,setembro/2026
Caçapava,Parque Residencial Maria Elmira,casa,venda,6480.0,5244.2,7082.0,47,,setembro/2026
Caçapava,Parque Residencial Nova,casa,venda,2206.9,1801.5,3737.5,5,,setembro/2026
Caçapava,Parque Residencial Santo André,casa,venda,3062.9,2569.0,3717.9,14,,setembro/2026
Caçapava,Piedade,casa,venda,6543.9,5813.3,7581.5,20,,setembro/2026
Caçapava,Reserva do Vale,casa,venda,5911.3,5333.3,6626.5,73,,setembro/2026
Caçapava,Residencial Aldeias da Serra,casa,venda,2961.8,2054.0,3469.1,7,,setembro/2026
Caçapava,Residencial Alta Vista 1,casa,venda,6784.6,6252.3,7200.0,14,,setembro/2026
Caçapava,Residencial Alta Vista 2,casa,venda,6078.5,5250.0,6817.0,6,,setembro/2026
Caçapava,Residencial Amor,casa,venda,5875.0,4621.8,6346.0,8,,setembro/2026
Caçapava,Residencial Colinas.,casa,venda,6640.6,6121.0,7245.6,67,,setembro/2026
Caçapava,Residencial Esperança,casa,venda,4751.4,3743.4,5443.0,16,,setembro/2026
Caçapava,Residencial Malibu,casa,venda,6500.0,5909.1,7109.4,17,,setembro/2026
Caçapava,Residencial Santa Helena,casa,venda,6030.4,4400.0,6820.0,21,,setembro/2026
Caçapava,Residencial Santa Monica,casa,venda,7647.1,6666.1,7748.3,7,,setembro/2026
Caçapava,Residencial Terras do Vale,casa,venda,6632.2,5841.2,7247.3,42,,setembro/2026
Caçapava,Santa Luzia,casa,venda,6244.3,4165.5,7530.0,10,,setembro/2026
Caçapava,Santa Mônica,casa,venda,7000.0,6636.2,7473.4,11,,setembro/2026
Caçapava,Sapé 1,casa,venda,6544.6,5889.2,6953.0,6,,setembro/2026
Caçapava,Terras do Vale,casa,venda,6901.0,6556.7,7828.7,7,,setembro/2026
Caçapava,Vera Cruz,casa,venda,3482.8,2772.9,4379.0,6,,setembro/2026
Caçapava,Vila Bandeirantes,casa,venda,3925.9,2574.1,4415.4,7,,setembro/2026
Caçapava,Vila Menino Jesus,casa,venda,1833.5,1431.2,2119.9,6,,setembro/2026
Caçapava,Vila Paraíso,casa,venda,4800.0,3675.4,5780.5,7,,setembro/2026
Caçapava,Vila Resende,casa,venda,3160.6,2618.5,3790.7,16,,setembro/2026
Caçapava,Vila Santos,casa,venda,4105.9,3205.3,4801.7,22,,setembro/2026
Caçapava,Vila São João,casa,venda,3326.1,2605.9,3782.0,7,,setembro/2026
Caçapava,Village das Flores,casa,venda,3839.3,2940.7,4750.0,22,,setembro/2026
Caçapava,Vera Cruz,apartamento,venda,5734.0,4117.6,6103.1,10,,setembro/2026
Caçapava,Vila Antônio Augusto Luiz,apartamento,venda,6167.3,5673.3,6457.1,8,,setembro/2026
Caçapava,Vila Paraíso,apartamento,venda,3816.5,3676.5,4420.0,8,,setembro/2026
Caçapava,Bairro do Grama,terreno,venda,911.4,793.2,1075.8,16,,setembro/2026
Caçapava,Borda da Mata,terreno,venda,811.7,742.8,890.8,34,,setembro/2026
Caçapava,Borda do Lago,terreno,venda,770.4,751.2,889.0,7,,setembro/2026
Caçapava,Cacapava,terreno,venda,852.8,786.4,975.0,6,,setembro/2026
Caçapava,Caçapava Velha,terreno,venda,721.4,275.0,773.2,17,,setembro/2026
Caçapava,Eco Park Bourbon,terreno,venda,786.7,734.7,835.2,12,,setembro/2026
Caçapava,Ecopark Boubon,terreno,venda,833.3,736.1,871.1,5,,setembro/2026
Caçapava,Estrada,terreno,venda,652.8,611.1,661.1,5,,setembro/2026
Caçapava,Guamirim,terreno,venda,457.1,140.0,891.4,5,,setembro/2026
Caçapava,Jardim Campo Grande,terreno,venda,539.9,199.4,700.1,16,,setembro/2026
Caçapava,Jardim Maria Cândida,terreno,venda,787.9,739.3,838.2,10,,setembro/2026
Caçapava,Jardim Terras do Vale,terreno,venda,1007.9,943.3,1088.3,7,,setembro/2026
Caçapava,Marambaia,terreno,venda,110.0,70.8,151.0,7,,setembro/2026
Caçapava,Parque do Museu,terreno,venda,898.0,797.7,913.7,5,,setembro/2026
Caçapava,Parque Residencial Maria Elmira,terreno,venda,814.0,762.3,899.0,23,,setembro/2026
