cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Jundiaí,Agapeama,casa,venda,3902.7,3493.5,4055.1,6,,setembro/2026
Jundiaí,Anhangabaú,casa,venda,5262.9,4180.6,7257.4,60,7.05,setembro/2026
Jundiaí,Anhangabaú,casa,aluguel,30.9,28.8,42.2,13,7.05,setembro/2026
Jundiaí,Bela Vista,casa,venda,4727.3,3674.5,5868.4,31,7.54,setembro/2026
Jundiaí,Bela Vista,casa,aluguel,29.7,27.1,37.0,12,7.54,setembro/2026
Jundiaí,Bella Vittà,casa,venda,9500.5,8961.7,9937.5,6,,setembro/2026
Jundiaí,Brisas da Mata,casa,venda,10429.3,9085.1,11210.0,6,,setembro/2026
Jundiaí,Castanho,casa,venda,4821.4,3880.0,5283.3,13,,setembro/2026
Jundiaí,Caxambu,casa,venda,5739.2,4389.2,7571.8,90,6.48,setembro/2026
Jundiaí,Caxambu,casa,aluguel,31.0,25.5,42.5,22,6.48,setembro/2026
Jundiaí,Centro,casa,venda,4450.3,3620.8,6038.2,123,7.98,setembro/2026
Jundiaí,Centro,casa,aluguel,29.6,24.3,37.8,28,7.98,setembro/2026
Jundiaí,Chácara Malota,casa,venda,7216.4,5429.1,8962.1,100,5.92,setembro/2026
Jundiaí,Chácara Malota,casa,aluguel,35.6,32.4,43.1,13,5.92,setembro/2026
Jundiaí,Chácara Morada Mediterrânea,casa,venda,8119.7,6448.9,8972.4,19,,setembro/2026
Jundiaí,Chácara Terra Nova,casa,venda,11326.8,7680.8,12576.2,12,,setembro/2026
Jundiaí,Chácara Urbana,casa,venda,7079.4,5982.1,9575.6,26,5.29,setembro/2026
Jundiaí,Chácara Urbana,casa,aluguel,31.2,28.5,43.5,8,5.29,setembro/2026
Jundiaí,Chácaras Saudáveis e Encantadoras,casa,venda,8557.7,7910.8,8865.3,10,,setembro/2026
Jundiaí,Cidade Luiza,casa,venda,4300.0,3532.6,5319.1,13,,setembro/2026
Jundiaí,Cidade Nova,casa,venda,5723.7,3774.5,8772.7,81,4.95,setembro/2026
Jundiaí,Cidade Nova,casa,aluguel,23.6,20.1,38.8,10,4.95,setembro/2026
Jundiaí,Cidade Santos Dumont,casa,venda,10140.4,4260.5,15000.0,25,4.24,setembro/2026
Jundiaí,Cidade Santos Dumont,casa,aluguel,35.8,31.9,52.4,7,4.24,setembro/2026
Jundiaí,Colônia,casa,venda,4475.3,3864.1,6843.1,20,,setembro/2026
Jundiaí,Corrupira,casa,venda,8909.7,6927.4,10608.3,20,,setembro/2026
Jundiaí,Currupira,casa,venda,4589.6,3395.8,8150.5,6,,setembro/2026
Jundiaí,Distrito Industrial,casa,venda,7439.3,3963.4,9790.4,8,,setembro/2026
Jundiaí,Eloy Chaves,casa,venda,5933.5,4433.1,7789.5,10,,setembro/2026
Jundiaí,Engordadouro,casa,venda,8904.2,7621.0,10277.2,44,,setembro/2026
Jundiaí,Fazenda Campo Verde,casa,venda,5636.7,4121.4,12849.2,5,,setembro/2026
Jundiaí,Fazenda Grande,casa,venda,4586.5,4249.0,5291.8,34,,setembro/2026
Jundiaí,Gramadão,casa,venda,10378.8,8276.5,11518.4,15,,setembro/2026
Jundiaí,Horto Florestal,casa,venda,9782.6,4791.2,11162.9,18,,setembro/2026
Jundiaí,Horto Santo Antonio,casa,venda,5075.2,4485.9,5759.6,22,,setembro/2026
Jundiaí,Ivoturucaia,casa,venda,5058.4,3520.7,6451.6,9,,setembro/2026
Jundiaí,Jardim Alice,casa,venda,6179.8,5269.3,7846.3,6,,setembro/2026
Jundiaí,Jardim Ana Maria,casa,venda,6666.7,5424.9,7664.6,27,8.26,setembro/2026
Jundiaí,Jardim Ana Maria,casa,aluguel,45.9,37.8,50.5,14,8.26,setembro/2026
Jundiaí,Jardim Bizarro,casa,venda,4339.6,3054.7,5472.4,19,,setembro/2026
Jundiaí,Jardim Bonfiglioli,casa,venda,5024.0,4307.7,5329.0,16,9.32,setembro/2026
Jundiaí,Jardim Bonfiglioli,casa,aluguel,39.0,32.1,48.1,6,9.32,setembro/2026
Jundiaí,Jardim Brasil,casa,venda,6704.0,5395.8,7332.3,16,,setembro/2026
Jundiaí,Jardim Caçula,casa,venda,3572.7,3057.5,3909.6,20,,setembro/2026
Jundiaí,Jardim Campos Elísios,casa,venda,5737.7,4588.2,6108.6,9,,setembro/2026
Jundiaí,Jardim Carlos Gomes,casa,venda,4120.4,3320.2,5028.6,8,,setembro/2026
Jundiaí,Jardim Carolina,casa,venda,7379.5,6240.6,7990.0,18,,setembro/2026
Jundiaí,Jardim Caxambu,casa,venda,6203.4,4221.7,7663.2,36,,setembro/2026
Jundiaí,Jardim Celeste,casa,venda,8751.3,6313.5,9646.3,34,,setembro/2026
Jundiaí,Jardim Cica,casa,venda,4044.4,3642.6,5847.6,6,,setembro/2026
Jundiaí,Jardim Colônia,casa,venda,7226.1,5191.7,8472.7,24,,setembro/2026
Jundiaí,Jardim Colonial,casa,venda,2702.7,2614.2,3391.3,9,,setembro/2026
Jundiaí,Jardim Copacabana,casa,venda,5333.3,4186.0,6302.5,21,,setembro/2026
Jundiaí,Jardim da Fonte,casa,venda,3533.9,2991.7,4385.1,32,,setembro/2026
Jundiaí,Jardim da Serra,casa,venda,3652.0,2970.1,5398.7,14,,setembro/2026
Jundiaí,Jardim Danúbio,casa,venda,4255.6,3859.9,4950.4,11,,setembro/2026
Jundiaí,Jardim das Carpas,casa,venda,7476.6,6165.8,7661.7,11,,setembro/2026
Jundiaí,Jardim das Samambaias,casa,venda,9885.8,5159.3,12950.4,108,4.41,setembro/2026
Jundiaí,Jardim das Samambaias,casa,aluguel,36.3,31.5,54.5,23,4.41,setembro/2026
Jundiaí,Jardim das Tulipas,casa,venda,3658.7,2907.5,4587.5,96,,setembro/2026
Jundiaí,Jardim do Lago,casa,venda,3564.9,2940.2,4366.1,46,,setembro/2026
Jundiaí,Jardim Dona Donata,casa,venda,6251.4,4781.2,6982.9,6,,setembro/2026
Jundiaí,Jardim Ermida I,casa,venda,9690.7,8500.9,10460.3,32,,setembro/2026
Jundiaí,Jardim Ermida II,casa,venda,7920.0,5232.3,9210.1,15,,setembro/2026
Jundiaí,Jardim Esplanada,casa,venda,4072.2,3380.3,4701.5,25,,setembro/2026
Jundiaí,Jardim Estádio,casa,venda,3717.4,3327.3,5048.5,28,,setembro/2026
Jundiaí,Jardim Europa,casa,venda,5833.3,5377.6,6479.0,7,,setembro/2026
Jundiaí,Jardim Florestal,casa,venda,4904.4,4309.5,6601.2,30,5.75,setembro/2026
Jundiaí,Jardim Florestal,casa,aluguel,23.5,20.7,26.1,7,5.75,setembro/2026
Jundiaí,Jardim Gramadão I,casa,venda,9736.8,7955.6,10227.3,9,,setembro/2026
Jundiaí,Jardim Guanabara,casa,venda,3208.7,2529.5,3687.4,6,,setembro/2026
Jundiaí,Jardim Itália,casa,venda,4933.0,4400.4,6350.0,14,,setembro/2026
Jundiaí,Jardim Liberdade,casa,venda,4842.3,3880.6,5067.2,14,,setembro/2026
Jundiaí,Jardim Marabambaia II (Jardim Santa Gertrudes),casa,venda,5837.4,4609.8,7230.8,6,,setembro/2026
Jundiaí,Jardim Marambaia,casa,venda,5238.4,4874.1,5991.7,40,,setembro/2026
Jundiaí,Jardim Marambaia II,casa,venda,6399.4,5011.3,8116.7,26,,setembro/2026
Jundiaí,Jardim Marco Leite,casa,venda,4959.5,3255.5,11036.6,8,,setembro/2026
Jundiaí,Jardim Martins,casa,venda,4489.8,4006.4,5200.0,13,,setembro/2026
Jundiaí,Jardim Merci I,casa,venda,3634.1,2739.8,4463.8,8,,setembro/2026
Jundiaí,Jardim Merci II,casa,venda,4903.9,3747.4,5396.4,10,,setembro/2026
Jundiaí,Jardim Messina,casa,venda,4615.4,4040.0,5740.1,29,7.33,setembro/2026
Jundiaí,Jardim Messina,casa,aluguel,28.2,24.5,33.5,5,7.33,setembro/2026
Jundiaí,Jardim Morumbi,casa,venda,4902.0,3721.3,6094.0,10,,setembro/2026
Jundiaí,Jardim Novo Mundo,casa,venda,8122.3,6519.5,10939.4,112,5.6,setembro/2026
Jundiaí,Jardim Novo Mundo,casa,aluguel,37.9,18.8,62.0,23,5.6,setembro/2026
Jundiaí,Jardim Pacaembu,casa,venda,3695.7,2754.2,4258.9,68,,setembro/2026
Jundiaí,Jardim Paris,casa,venda,5717.6,4329.8,5982.3,12,,setembro/2026
Jundiaí,Jardim Paulista I,casa,venda,4855.1,3714.3,5809.1,41,,setembro/2026
Jundiaí,Jardim Paulista II,casa,venda,5281.4,4603.1,6046.8,31,,setembro/2026
Jundiaí,Jardim Petrópolis,casa,venda,5111.4,4825.7,7211.7,8,,setembro/2026
Jundiaí,Jardim Pitangueiras I,casa,venda,5379.9,4776.0,7238.5,6,,setembro/2026
Jundiaí,Jardim Planalto,casa,venda,4325.0,3512.7,5358.9,14,,setembro/2026
Jundiaí,Jardim Primavera,casa,venda,4851.9,3833.3,6076.2,12,,setembro/2026
Jundiaí,Jardim Quintas das Videiras,casa,venda,5598.7,4244.8,8141.7,18,,setembro/2026
Jundiaí,Jardim Roma,casa,venda,4081.1,3948.8,4386.4,8,,setembro/2026
Jundiaí,Jardim Sagrado Coração de Jesus,casa,venda,4381.1,2908.0,5259.1,6,,setembro/2026
Jundiaí,Jardim Santa Adelaide,casa,venda,5100.9,3652.4,6460.0,8,,setembro/2026
Jundiaí,Jardim Santa Gertrudes,casa,venda,3719.0,2783.4,4793.3,75,,setembro/2026
Jundiaí,Jardim Santa Teresa,casa,venda,7994.2,7172.1,9885.4,33,,setembro/2026
Jundiaí,Jardim São Bento,casa,aluguel,28.3,20.8,38.7,7,,setembro/2026
Jundiaí,Jardim São Vicente,casa,venda,4187.2,3631.8,4882.8,17,,setembro/2026
Jundiaí,Jardim Sarapiranga,casa,venda,5728.4,5320.5,6037.7,16,,setembro/2026
Jundiaí,Jardim Shangai,casa,venda,8738.7,7611.5,9793.1,68,7.24,setembro/2026
Jundiaí,Jardim Shangai,casa,aluguel,52.7,46.7,58.6,14,7.24,setembro/2026
Jundiaí,Jardim Tamoio,casa,venda,3568.2,2466.3,4396.8,24,,setembro/2026
Jundiaí,Jardim Tannus,casa,venda,4260.1,4015.9,5555.6,13,,setembro/2026
Jundiaí,Jardim Tarumã,casa,venda,3984.2,3038.9,5274.1,44,,setembro/2026
Jundiaí,Jardim Tereza Cristina,casa,venda,6502.2,4867.3,7872.3,15,,setembro/2026
Jundiaí,Jardim Torres São José,casa,venda,4373.9,3584.0,5237.3,26,,setembro/2026
Jundiaí,Jardim Trevo,casa,venda,3120.0,2610.0,3881.8,14,,setembro/2026
Jundiaí,Jardim Vale Verde,casa,venda,5325.4,4754.5,7090.0,23,,setembro/2026
Jundiaí,Jundiaí Mirim,casa,venda,6876.5,6078.3,7421.0,22,,setembro/2026
Jundiaí,Loteamento Brisas do Lago,casa,venda,12487.5,10772.1,13998.0,8,,setembro/2026
Jundiaí,Loteamento Capital Ville,casa,venda,5652.2,4176.3,6250.0,13,,setembro/2026
Jundiaí,Loteamento Portal da Colina,casa,venda,6115.1,5577.7,7263.2,9,,setembro/2026
Jundiaí,Loteamento Portal do Paraiso,casa,venda,6829.3,6823.5,7004.3,5,,setembro/2026
Jundiaí,Loteamento Reserva da Serra,casa,venda,8515.3,7611.1,9275.9,25,,setembro/2026
Jundiaí,Loteamento Reserva Ermida,casa,venda,8166.5,4875.6,9755.8,56,,setembro/2026
Jundiaí,Loteamento Vale Azul I,casa,venda,9229.4,8527.5,9638.9,6,,setembro/2026
Jundiaí,Loteamento Villaggio Di San Francisco,casa,venda,6762.2,5992.0,7268.9,8,,setembro/2026
Jundiaí,Malota,casa,venda,7586.5,6262.8,10449.2,54,,setembro/2026
Jundiaí,Marco Leite,casa,venda,11170.2,8501.6,13448.9,7,,setembro/2026
Jundiaí,Medeiros,casa,venda,8172.7,6666.7,9840.0,145,5.43,setembro/2026
Jundiaí,Medeiros,casa,aluguel,37.0,23.9,43.3,32,5.43,setembro/2026
Jundiaí,Mirante,casa,venda,5319.9,5006.4,6000.3,12,,setembro/2026
Jundiaí,Mirante da Colonia,casa,venda,5247.0,4851.5,6063.7,10,,setembro/2026
Jundiaí,Novo Horizonte,casa,venda,2944.4,2676.8,2977.5,5,,setembro/2026
Jundiaí,Parque Almerinda Chaves,casa,venda,4673.2,3574.9,5215.7,8,,setembro/2026
Jundiaí,Parque Almerinda Pereira Chaves,casa,venda,3951.2,3408.1,4570.9,18,,setembro/2026
Jundiaí,Parque Brasília,casa,venda,4736.8,2720.0,5081.3,9,,setembro/2026
Jundiaí,Parque Cecap,casa,venda,8665.2,7185.7,9946.4,40,,setembro/2026
Jundiaí,Parque Centenário,casa,venda,5412.8,3752.0,7303.4,21,,setembro/2026
Jundiaí,Parque Cidade Jardim,casa,venda,3623.2,3400.0,3918.4,13,,setembro/2026
Jundiaí,Parque Cidade Jardim II,casa,venda,4487.8,3659.4,5423.6,56,,setembro/2026
Jundiaí,Parque da Represa,casa,venda,4983.3,3880.9,5983.7,54,8.33,setembro/2026
Jundiaí,Parque da Represa,casa,aluguel,34.6,17.9,37.8,5,8.33,setembro/2026
Jundiaí,Parque do Colégio,casa,venda,6684.8,5370.3,7644.2,38,5.78,setembro/2026
Jundiaí,Parque do Colégio,casa,aluguel,32.2,30.6,33.2,14,5.78,setembro/2026
Jundiaí,Parque Portal do Paraíso,casa,venda,5202.3,3938.1,6246.6,7,,setembro/2026
Jundiaí,Parque Residencial,casa,venda,3890.7,3038.5,4803.6,84,7.31,setembro/2026
Jundiaí,Parque Residencial,casa,aluguel,23.7,19.0,35.8,8,7.31,setembro/2026
Jundiaí,Parque Residencial Eloy Chaves,casa,venda,4702.6,3548.6,7225.0,36,,setembro/2026
Jundiaí,Parque Residencial Jundiaí II,casa,venda,4735.3,3949.1,5170.5,16,,setembro/2026
Jundiaí,Parque São Luiz,casa,venda,2138.9,1908.4,3463.1,6,,setembro/2026
Jundiaí,Parque União,casa,venda,4892.9,4635.7,4976.5,5,,setembro/2026
Jundiaí,Ponte de Campinas,casa,venda,4587.2,3079.2,5645.0,7,,setembro/2026
Jundiaí,Ponte de São João,casa,venda,3737.5,2960.0,4922.8,64,,setembro/2026
Jundiaí,Portal do Paraíso I,casa,venda,6475.0,5639.1,7556.3,17,,setembro/2026
Jundiaí,Portal do Paraíso II,casa,venda,7500.0,6341.3,8375.3,31,7.1,setembro/2026
Jundiaí,Portal do Paraíso II,casa,aluguel,44.4,36.5,58.6,8,7.1,setembro/2026
Jundiaí,Quinta das Paineiras,casa,venda,12234.0,9985.7,12500.0,5,,setembro/2026
Jundiaí,Recanto Quarto Centenário,casa,venda,9300.0,7672.4,11526.1,45,,setembro/2026
Jundiaí,Reserva da Serra,casa,venda,9288.7,8090.0,10291.5,120,5.59,setembro/2026
Jundiaí,Reserva da Serra,casa,aluguel,43.3,37.0,45.5,20,5.59,setembro/2026
