cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Mirassol,Aeroporto,casa,venda,7278.0,6274.7,8020.7,14,,setembro/2026
Mirassol,Alphaville,casa,venda,6175.6,5309.9,6949.7,20,,setembro/2026
Mirassol,Centro,casa,venda,2792.6,2500.0,3412.3,14,,setembro/2026
Mirassol,Golden Park,casa,venda,8830.8,7134.2,9386.0,11,,setembro/2026
Mirassol,Golden Park Residence,casa,venda,7714.3,6666.7,9506.7,29,,setembro/2026
Mirassol,Jardim Laguna,casa,venda,3589.3,3128.1,4030.2,6,,setembro/2026
Mirassol,Lot. Res. Setlife,casa,venda,7064.2,6209.2,7362.0,13,,setembro/2026
Mirassol,Loteamento Jardim Laguna,casa,venda,3780.2,3480.0,4152.1,10,,setembro/2026
Mirassol,Loteamento Residencial Golden Park,casa,venda,7381.0,6258.3,8123.3,10,,setembro/2026
Mirassol,Loteamento Residencial Regissol,casa,venda,2371.2,2033.3,2595.5,6,,setembro/2026
Mirassol,Loteamento Village,casa,venda,5951.7,5259.1,6652.3,6,,setembro/2026
Mirassol,Mais Parque,casa,venda,3958.3,3071.4,4588.2,13,,setembro/2026
Mirassol,Miravista Residencial,casa,venda,4374.1,4025.2,4912.0,10,,setembro/2026
Mirassol,Residencial Mais Parque,casa,venda,3937.0,3527.0,4356.5,12,,setembro/2026
Mirassol,Set Life II,casa,venda,7185.6,6455.8,7853.6,31,,setembro/2026
Mirassol,Setlife,casa,venda,6855.3,6062.5,7431.0,19,,setembro/2026
Mirassol,Setlife 1,casa,venda,6180.6,4986.3,6546.3,7,,setembro/2026
Mirassol,Setlife II Residence Club,casa,venda,6025.2,5333.3,7187.5,5,,setembro/2026
Mirassol,Setlife Residence Club 1,casa,venda,6250.0,5726.5,6738.8,32,,setembro/2026
Mirassol,Setlife Residence Club 2,casa,venda,6439.3,5844.1,6869.7,42,,setembro/2026
Mirassol,Setlife Residence Club II,casa,venda,7375.0,6721.6,7862.0,6,,setembro/2026
Mirassol,Terra Vista,casa,venda,7399.1,6571.4,7812.5,17,,setembro/2026
Mirassol,Terras Alphaville,casa,venda,6815.4,5330.0,6914.6,7,,setembro/2026
Mirassol,Terravista Residence Club,casa,venda,7098.2,5631.6,7794.6,23,,setembro/2026
Mirassol,Village Damha III,casa,venda,5277.8,4512.7,7001.2,7,,setembro/2026
Mirassol,Village Damha IV,casa,venda,6967.7,5657.1,7500.0,13,,setembro/2026
Mirassol,Village Mirassol 4,casa,venda,6875.0,6490.4,7500.0,5,,setembro/2026
Mirassol,Village Mirassol I,casa,venda,4777.8,4720.0,5250.0,5,,setembro/2026
Mirassol,Village Mirassol II,casa,venda,5643.8,5161.3,6000.0,5,,setembro/2026
Mirassol,Village Mirassol III,casa,venda,5686.8,4153.6,6474.3,16,,setembro/2026
Mirassol,Alphaville,terreno,venda,569.0,525.5,642.2,26,,setembro/2026
Mirassol,Centro,terreno,venda,789.5,704.8,854.5,5,,setembro/2026
Mirassol,Golden Park Residence,terreno,venda,1218.5,1100.0,1430.8,12,,setembro/2026
Mirassol,Jardim Girassol,terreno,venda,393.8,389.8,414.8,5,,setembro/2026
Mirassol,Loteamento Residencial Golden Park,terreno,venda,1441.4,637.7,1533.1,7,,setembro/2026
Mirassol,Mais Parque,terreno,venda,1052.6,729.0,1100.0,8,,setembro/2026
Mirassol,Miravista,terreno,venda,500.8,480.7,543.8,8,,setembro/2026
Mirassol,Miravista Residencial,terreno,venda,556.7,511.0,616.6,12,,setembro/2026
Mirassol,Residencial Mais Parque,terreno,venda,513.9,493.8,570.8,8,,setembro/2026
Mirassol,Set Life II,terreno,venda,865.6,768.2,1103.4,7,,setembro/2026
Mirassol,Setlife,terreno,venda,820.2,751.0,875.9,9,,setembro/2026
Mirassol,Setlife I Residence Club,terreno,venda,794.5,780.0,810.3,5,,setembro/2026
Mirassol,Setlife Residence Club 1,terreno,venda,830.0,727.1,903.6,11,,setembro/2026
Mirassol,Setlife Residence Club 2,terreno,venda,805.8,758.2,865.9,8,,setembro/2026
Mirassol,Terras Alphaville,terreno,venda,632.2,538.0,683.3,15,,setembro/2026
Mirassol,Terravista Residence Club,terreno,venda,848.8,829.1,928.4,5,,setembro/2026
Mirassol,Village Damha IV,terreno,venda,692.2,690.9,784.0,5,,setembro/2026
Mirassol,Village Mirassol 4,terreno,venda,900.0,785.1,1300.0,7,,setembro/2026
Mirassol,Loteamento Residencial Regissol,sala,aluguel,41.9,41.2,44.2,5,,setembro/2026
