cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Piracicaba,Água Branca,apartamento,venda,5000.0,4304.3,6000.0,21,6.67,setembro/2026
Piracicaba,Água Branca,apartamento,aluguel,27.8,25.0,33.5,15,6.67,setembro/2026
Piracicaba,Água Seca,apartamento,venda,4494.1,3516.3,5147.3,12,,setembro/2026
Piracicaba,Alemães,apartamento,venda,8050.8,5600.0,9514.6,45,6.51,setembro/2026
Piracicaba,Alemães,apartamento,aluguel,43.7,37.1,55.6,17,6.51,setembro/2026
Piracicaba,Alto,apartamento,venda,4545.5,3750.0,6254.1,121,8.87,setembro/2026
Piracicaba,Alto,apartamento,aluguel,33.6,23.8,41.8,35,8.87,setembro/2026
Piracicaba,Bongue,apartamento,venda,4000.0,3333.3,4444.4,5,,setembro/2026
Piracicaba,Campestre,apartamento,venda,4155.6,3727.1,4743.6,25,7.71,setembro/2026
Piracicaba,Campestre,apartamento,aluguel,26.7,21.5,31.9,10,7.71,setembro/2026
Piracicaba,Castelinho,apartamento,venda,5061.6,4571.8,5721.1,8,,setembro/2026
Piracicaba,Centro,apartamento,venda,4189.2,3583.2,5417.6,254,9.05,setembro/2026
Piracicaba,Centro,apartamento,aluguel,31.6,18.4,44.3,61,9.05,setembro/2026
Piracicaba,Chácara Esperia,apartamento,venda,5368.9,4923.1,5769.2,5,,setembro/2026
Piracicaba,Chácaras Água Branca,apartamento,venda,3636.4,2712.0,4109.9,11,,setembro/2026
Piracicaba,Cidade Alta,apartamento,venda,5206.8,3854.6,8129.8,58,8.83,setembro/2026
Piracicaba,Cidade Alta,apartamento,aluguel,38.3,31.0,50.0,53,8.83,setembro/2026
Piracicaba,Cidade Jardim,apartamento,venda,5622.1,3517.0,10342.6,20,13.04,setembro/2026
Piracicaba,Cidade Jardim,apartamento,aluguel,61.1,54.4,71.1,15,13.04,setembro/2026
Piracicaba,Dois Córregos,apartamento,venda,4657.5,4000.0,6774.0,37,7.01,setembro/2026
Piracicaba,Dois Córregos,apartamento,aluguel,27.2,23.3,31.3,14,7.01,setembro/2026
Piracicaba,Gleba Califórnia,apartamento,venda,4555.6,3925.9,5000.0,25,9.27,setembro/2026
Piracicaba,Gleba Califórnia,apartamento,aluguel,35.2,32.6,40.4,6,9.27,setembro/2026
Piracicaba,Glebas Califórnia,apartamento,venda,4656.9,3764.1,5031.6,23,6.6,setembro/2026
Piracicaba,Glebas Califórnia,apartamento,aluguel,25.6,23.5,33.4,8,6.6,setembro/2026
Piracicaba,Higienópolis,apartamento,venda,4486.9,3451.3,5579.0,34,5.51,setembro/2026
Piracicaba,Higienópolis,apartamento,aluguel,20.6,19.9,28.7,10,5.51,setembro/2026
Piracicaba,Jaraguá,apartamento,venda,3755.4,3200.9,4933.1,14,,setembro/2026
Piracicaba,Jardim Abaeté,apartamento,venda,4662.2,4363.1,5163.5,22,6.43,setembro/2026
Piracicaba,Jardim Abaeté,apartamento,aluguel,25.0,23.2,27.0,7,6.43,setembro/2026
Piracicaba,Jardim Astúrias I,apartamento,venda,4469.7,4328.4,4545.5,5,,setembro/2026
Piracicaba,Jardim Belvedere,apartamento,venda,3037.3,2234.6,3360.2,7,,setembro/2026
Piracicaba,Jardim Brasília,apartamento,venda,6228.4,5096.8,6873.2,10,,setembro/2026
Piracicaba,Jardim Califórnia,apartamento,venda,7499.3,5428.6,8178.6,10,6.18,setembro/2026
Piracicaba,Jardim Califórnia,apartamento,aluguel,38.6,32.9,43.6,6,6.18,setembro/2026
Piracicaba,Jardim Caxambu,apartamento,venda,3511.7,3149.4,4226.6,22,,setembro/2026
Piracicaba,Jardim Elite,apartamento,venda,5349.7,3888.9,8333.3,81,7.11,setembro/2026
Piracicaba,Jardim Elite,apartamento,aluguel,31.7,25.8,44.0,30,7.11,setembro/2026
Piracicaba,Jardim Europa,apartamento,venda,10285.7,9494.1,11519.0,26,6.62,setembro/2026
Piracicaba,Jardim Europa,apartamento,aluguel,56.7,52.3,70.2,19,6.62,setembro/2026
Piracicaba,Jardim Itapuã,apartamento,venda,3584.8,3439.6,4054.1,11,,setembro/2026
Piracicaba,Jardim Maria,apartamento,venda,3645.8,3163.3,4400.0,9,,setembro/2026
Piracicaba,Jardim Nova Iguaçu,apartamento,venda,4514.1,3928.7,4962.1,26,6.91,setembro/2026
Piracicaba,Jardim Nova Iguaçu,apartamento,aluguel,26.0,22.9,28.6,8,6.91,setembro/2026
Piracicaba,Jardim Nova Suíça,apartamento,venda,3636.4,3066.4,4043.4,8,7.49,setembro/2026
