cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Santo André,Bairro Jardim,casa,venda,6018.5,4988.4,9219.9,7,,setembro/2026
Santo André,Bairro Santa Terezinha,casa,venda,4644.8,4050.4,4818.5,7,,setembro/2026
Santo André,Bangú,casa,venda,4158.9,3309.2,5072.4,54,7.88,setembro/2026
Santo André,Bangú,casa,aluguel,27.3,23.7,37.5,16,7.88,setembro/2026
Santo André,Campestre,casa,venda,5434.8,4143.6,7083.3,465,7.33,setembro/2026
Santo André,Campestre,casa,aluguel,33.2,26.0,43.4,141,7.33,setembro/2026
Santo André,Casa Branca,casa,venda,4667.4,3968.7,5780.2,58,9.13,setembro/2026
Santo André,Casa Branca,casa,aluguel,35.5,24.8,47.1,8,9.13,setembro/2026
Santo André,Centreville,casa,venda,3215.5,2810.8,4209.4,36,6.34,setembro/2026
Santo André,Centreville,casa,aluguel,17.0,14.4,20.9,6,6.34,setembro/2026
Santo André,Centro,casa,venda,5865.1,4250.0,7597.7,116,6.55,setembro/2026
Santo André,Centro,casa,aluguel,32.0,24.2,46.0,77,6.55,setembro/2026
Santo André,Cidade Recreio da Borda do Campo,casa,venda,1841.6,1324.7,3147.4,6,,setembro/2026
Santo André,Cidade São Jorge,casa,venda,3352.9,2513.4,4255.2,61,6.94,setembro/2026
Santo André,Cidade São Jorge,casa,aluguel,19.4,13.9,20.6,9,6.94,setembro/2026
Santo André,Jardim,casa,venda,6544.5,5170.5,8429.7,271,7.48,setembro/2026
Santo André,Jardim,casa,aluguel,40.8,32.3,59.0,167,7.48,setembro/2026
Santo André,Jardim Aclimação,casa,venda,2581.5,2164.9,2811.1,12,,setembro/2026
Santo André,Jardim Alvorada,casa,venda,3400.0,2799.2,4032.8,63,,setembro/2026
Santo André,Jardim Alzira Franco,casa,venda,3000.0,2288.0,3978.5,33,,setembro/2026
Santo André,Jardim Ana Maria,casa,venda,3451.5,2943.4,4297.2,82,6.95,setembro/2026
Santo André,Jardim Ana Maria,casa,aluguel,20.0,17.8,28.9,5,6.95,setembro/2026
Santo André,Jardim Bela Vista,casa,venda,5893.4,4679.1,7307.2,198,7.0,setembro/2026
Santo André,Jardim Bela Vista,casa,aluguel,34.4,27.6,50.0,51,7.0,setembro/2026
Santo André,Jardim Bom Pastor,casa,venda,4285.7,3600.0,5427.1,49,10.64,setembro/2026
Santo André,Jardim Bom Pastor,casa,aluguel,38.0,21.5,41.9,5,10.64,setembro/2026
Santo André,Jardim Cambuí,casa,venda,3895.5,2803.3,4660.1,22,,setembro/2026
Santo André,Jardim Clube de Campo,casa,venda,4083.3,3846.2,5600.0,9,,setembro/2026
Santo André,Jardim Cristiane,casa,venda,3920.5,2955.1,4695.5,51,6.83,setembro/2026
Santo André,Jardim Cristiane,casa,aluguel,22.3,17.5,26.2,8,6.83,setembro/2026
Santo André,Jardim das Maravilhas,casa,venda,3985.0,2740.7,5581.4,105,6.72,setembro/2026
Santo André,Jardim das Maravilhas,casa,aluguel,22.3,17.5,23.7,10,6.72,setembro/2026
Santo André,Jardim do Estádio,casa,venda,3291.7,2671.6,4084.5,133,8.2,setembro/2026
Santo André,Jardim do Estádio,casa,aluguel,22.5,17.6,27.1,15,8.2,setembro/2026
Santo André,Jardim do Mirante,casa,venda,2838.7,2513.1,3240.0,5,,setembro/2026
Santo André,Jardim Guarará,casa,venda,3096.8,2615.4,3536.4,21,,setembro/2026
Santo André,Jardim Ipanema,casa,venda,3724.4,3038.1,4587.9,46,7.96,setembro/2026
Santo André,Jardim Ipanema,casa,aluguel,24.7,22.6,25.3,6,7.96,setembro/2026
Santo André,Jardim Irene,casa,venda,3051.6,2538.1,4312.5,53,,setembro/2026
Santo André,Jardim Itapoan,casa,venda,3108.8,2936.6,3772.4,15,,setembro/2026
Santo André,Jardim Itrapoan,casa,venda,4805.8,3650.3,5833.3,5,,setembro/2026
Santo André,Jardim Jamaica,casa,venda,4234.5,3365.4,4722.2,57,,setembro/2026
Santo André,Jardim Las Vegas,casa,venda,3297.9,2683.6,3961.5,207,6.62,setembro/2026
Santo André,Jardim Las Vegas,casa,aluguel,18.2,16.1,20.8,16,6.62,setembro/2026
Santo André,Jardim Marek,casa,venda,3290.0,2920.9,3942.5,48,,setembro/2026
Santo André,Jardim Milena,casa,venda,3281.3,2830.2,3710.9,41,,setembro/2026
Santo André,Jardim Monções,casa,venda,3450.3,2701.4,4672.8,31,,setembro/2026
Santo André,Jardim Monte Líbano,casa,venda,4285.7,3472.8,5615.1,11,,setembro/2026
Santo André,Jardim Ocara,casa,venda,4220.2,3634.8,5041.8,44,7.85,setembro/2026
Santo André,Jardim Ocara,casa,aluguel,27.6,23.5,37.6,6,7.85,setembro/2026
Santo André,Jardim Oriental,casa,venda,3481.7,3296.7,4203.1,14,,setembro/2026
Santo André,Jardim Paraíso,casa,venda,5025.9,4215.1,5829.6,45,,setembro/2026
Santo André,Jardim Pilar,casa,venda,4922.3,4042.6,5440.4,21,,setembro/2026
Santo André,Jardim Progresso,casa,venda,3673.3,3228.6,4599.3,46,,setembro/2026
Santo André,Jardim Rina,casa,venda,3815.8,3211.0,4900.0,43,,setembro/2026
Santo André,Jardim Santa Cristina,casa,venda,2766.7,2381.3,3747.3,14,,setembro/2026
Santo André,Jardim Santo Alberto,casa,venda,4159.6,3113.4,5618.3,122,8.31,setembro/2026
Santo André,Jardim Santo Alberto,casa,aluguel,28.8,21.8,33.3,14,8.31,setembro/2026
Santo André,Jardim Santo André,casa,venda,3157.4,2361.2,3874.4,51,,setembro/2026
Santo André,Jardim Santo Antônio,casa,venda,4774.8,3647.1,6000.0,85,6.01,setembro/2026
Santo André,Jardim Santo Antônio,casa,aluguel,23.9,20.8,27.9,10,6.01,setembro/2026
Santo André,Jardim Silvana,casa,venda,3278.5,2955.2,3871.1,12,,setembro/2026
Santo André,Jardim Stella,casa,venda,4210.3,3516.5,4872.1,110,8.35,setembro/2026
Santo André,Jardim Stella,casa,aluguel,29.3,26.1,34.5,17,8.35,setembro/2026
Santo André,Jardim Stetel,casa,venda,3809.5,3409.1,4260.9,9,,setembro/2026
Santo André,Jardim Teles de Menezes,casa,venda,2791.8,2145.9,3691.9,10,,setembro/2026
Santo André,Jardim Utinga,casa,venda,4016.4,3264.6,5612.2,117,6.75,setembro/2026
Santo André,Jardim Utinga,casa,aluguel,22.6,20.9,24.8,6,6.75,setembro/2026
