cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Santos,Aparecida,apartamento,venda,9572.6,6479.2,12887.9,203,7.56,setembro/2026
Santos,Aparecida,apartamento,aluguel,60.3,47.6,84.6,52,7.56,setembro/2026
Santos,Boqueirão,apartamento,venda,10000.0,7172.2,13342.9,391,7.66,setembro/2026
Santos,Boqueirão,apartamento,aluguel,63.8,44.9,82.1,119,7.66,setembro/2026
Santos,Campo Grande,apartamento,venda,6316.8,5333.3,8647.1,110,9.38,setembro/2026
Santos,Campo Grande,apartamento,aluguel,49.4,40.0,64.3,26,9.38,setembro/2026
Santos,Embaré,apartamento,venda,9287.5,6784.1,13323.7,250,7.64,setembro/2026
Santos,Embaré,apartamento,aluguel,59.1,47.0,79.1,71,7.64,setembro/2026
Santos,Encruzilhada,apartamento,venda,6586.5,5012.7,9372.9,46,11.24,setembro/2026
Santos,Encruzilhada,apartamento,aluguel,61.7,53.5,69.0,8,11.24,setembro/2026
Santos,Estuário,apartamento,venda,9491.1,8509.2,9990.1,31,,setembro/2026
Santos,Gonzaga,apartamento,venda,9080.5,6569.3,13052.0,385,9.14,setembro/2026
Santos,Gonzaga,apartamento,aluguel,69.2,50.0,88.1,129,9.14,setembro/2026
Santos,José Menino,apartamento,venda,8623.7,6351.2,12273.4,198,8.1,setembro/2026
Santos,José Menino,apartamento,aluguel,58.2,47.0,85.5,47,8.1,setembro/2026
Santos,Macuco,apartamento,venda,8153.8,5975.9,9461.0,55,9.51,setembro/2026
Santos,Macuco,apartamento,aluguel,64.6,42.6,75.5,15,9.51,setembro/2026
Santos,Marapé,apartamento,venda,7804.0,5721.8,9676.4,123,9.61,setembro/2026
Santos,Marapé,apartamento,aluguel,62.5,46.3,69.8,27,9.61,setembro/2026
Santos,Morro de Nova Cintra,apartamento,venda,6633.3,6081.3,7299.4,14,,setembro/2026
Santos,Pompéia,apartamento,venda,8125.0,6767.1,11383.0,149,9.42,setembro/2026
Santos,Pompéia,apartamento,aluguel,63.8,53.4,74.4,34,9.42,setembro/2026
Santos,Ponta da Praia,apartamento,venda,10194.8,7068.1,14497.1,223,7.18,setembro/2026
Santos,Ponta da Praia,apartamento,aluguel,61.0,50.5,74.6,59,7.18,setembro/2026
Santos,Vila Belmiro,apartamento,venda,6363.6,5544.0,9985.7,37,10.15,setembro/2026
Santos,Vila Belmiro,apartamento,aluguel,53.8,34.4,71.9,6,10.15,setembro/2026
Santos,Vila Matias,apartamento,venda,6018.9,4785.6,7844.1,62,10.39,setembro/2026
Santos,Vila Matias,apartamento,aluguel,52.1,40.8,73.7,16,10.39,setembro/2026
Santos,Vila Rica,apartamento,venda,11151.5,7978.8,13902.6,23,,setembro/2026
Santos,Aparecida,casa,venda,8491.9,6753.0,9909.7,66,6.88,setembro/2026
Santos,Aparecida,casa,aluguel,48.7,40.0,52.4,14,6.88,setembro/2026
Santos,Bom Retiro,casa,venda,4148.8,3536.1,4371.6,5,,setembro/2026
Santos,Boqueirão,casa,venda,7247.2,6403.4,8635.6,56,7.0,setembro/2026
Santos,Boqueirão,casa,aluguel,42.3,35.5,53.9,12,7.0,setembro/2026
Santos,Campo Grande,casa,venda,7127.9,5828.9,8833.3,70,7.63,setembro/2026
Santos,Campo Grande,casa,aluguel,45.3,33.2,62.2,15,7.63,setembro/2026
Santos,Castelo,casa,venda,3137.3,3069.7,3974.8,7,,setembro/2026
Santos,Embaré,casa,venda,8218.5,6497.8,9925.8,88,6.95,setembro/2026
Santos,Embaré,casa,aluguel,47.6,39.5,55.4,35,6.95,setembro/2026
Santos,Encruzilhada,casa,venda,6519.0,4829.5,8452.4,22,8.8,setembro/2026
Santos,Encruzilhada,casa,aluguel,47.8,32.4,65.5,6,8.8,setembro/2026
Santos,Estuário,casa,venda,6299.6,5011.4,7048.0,22,10.74,setembro/2026
Santos,Estuário,casa,aluguel,56.4,48.7,63.6,9,10.74,setembro/2026
Santos,Gonzaga,casa,venda,9949.2,7381.4,10723.7,22,6.68,setembro/2026
Santos,Gonzaga,casa,aluguel,55.4,40.4,74.1,29,6.68,setembro/2026
Santos,José Menino,casa,venda,8005.0,6500.0,10126.6,13,6.55,setembro/2026
Santos,José Menino,casa,aluguel,43.7,38.7,48.5,6,6.55,setembro/2026
Santos,Macuco,casa,venda,5091.8,4273.2,6290.2,31,6.88,setembro/2026
Santos,Macuco,casa,aluguel,29.2,25.7,43.1,7,6.88,setembro/2026
Santos,Marapé,casa,venda,6428.4,5421.7,8479.1,64,6.03,setembro/2026
Santos,Marapé,casa,aluguel,32.3,29.6,39.6,12,6.03,setembro/2026
Santos,Morro de Nova Cintra,casa,venda,5805.6,5657.7,6187.5,10,,setembro/2026
Santos,Morro Santa Terezinha,casa,venda,12263.2,8838.4,16558.4,5,,setembro/2026
Santos,Pompéia,casa,venda,5833.3,5357.1,7840.9,9,12.34,setembro/2026
Santos,Pompéia,casa,aluguel,60.0,40.9,72.8,11,12.34,setembro/2026
Santos,Ponta da Praia,casa,venda,9772.7,8231.7,11411.5,32,5.96,setembro/2026
Santos,Ponta da Praia,casa,aluguel,48.5,39.3,52.8,24,5.96,setembro/2026
Santos,Rádio Club,casa,venda,4302.4,2201.4,5944.6,6,,setembro/2026
Santos,Santa Maria,casa,venda,3791.9,2949.0,4342.1,12,,setembro/2026
Santos,Vila Belmiro,casa,venda,6666.1,5044.6,8519.9,40,6.34,setembro/2026
Santos,Vila Belmiro,casa,aluguel,35.2,29.8,45.0,11,6.34,setembro/2026
Santos,Vila Matias,casa,venda,5000.0,3722.4,6125.0,35,8.4,setembro/2026
Santos,Vila Matias,casa,aluguel,35.0,26.8,46.0,11,8.4,setembro/2026
Santos,Vila São Jorge,casa,venda,4590.6,4198.7,4941.9,5,,setembro/2026
Santos,Aparecida,terreno,venda,4666.7,3650.8,5000.0,17,,setembro/2026
Santos,Campo Grande,terreno,venda,4112.0,2939.7,5664.5,8,,setembro/2026
Santos,Centro,terreno,venda,2900.0,2546.7,3454.5,5,,setembro/2026
Santos,Encruzilhada,terreno,venda,3977.2,3529.8,3995.0,6,,setembro/2026
Santos,Estuário,terreno,venda,2546.5,2110.8,2998.2,10,,setembro/2026
Santos,José Menino,terreno,venda,8749.1,8192.2,11792.5,9,,setembro/2026
Santos,Macuco,terreno,venda,3191.5,2660.2,4598.9,18,,setembro/2026
Santos,Marapé,terreno,venda,3740.2,3001.6,4279.4,14,,setembro/2026
Santos,Morro de Nova Cintra,terreno,venda,991.4,877.2,1549.5,7,,setembro/2026
Santos,Paquetá,terreno,venda,2000.0,1653.5,2416.7,9,,setembro/2026
Santos,Ponta da Praia,terreno,venda,3703.7,3615.4,4255.6,5,,setembro/2026
Santos,Vila Belmiro,terreno,venda,3416.7,2856.4,4333.2,12,,setembro/2026
Santos,Vila Matias,terreno,venda,3896.1,2885.7,4936.3,19,,setembro/2026
Santos,Aparecida,sala,venda,4923.1,4531.2,9420.3,5,14.41,setembro/2026
Santos,Aparecida,sala,aluguel,59.1,56.6,66.2,19,14.41,setembro/2026
Santos,Boqueirão,sala,venda,7279.4,5574.5,10229.5,19,10.68,setembro/2026
Santos,Boqueirão,sala,aluguel,64.8,49.8,89.7,20,10.68,setembro/2026
Santos,Centro,sala,venda,3838.6,3225.5,5431.6,42,11.25,setembro/2026
Santos,Centro,sala,aluguel,36.0,25.1,50.0,46,11.25,setembro/2026
Santos,Embaré,sala,venda,6415.1,5346.4,7394.3,8,,setembro/2026
Santos,Encruzilhada,sala,venda,7812.5,6722.8,9166.7,25,9.14,setembro/2026
Santos,Encruzilhada,sala,aluguel,59.5,52.2,81.3,23,9.14,setembro/2026
