cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
São José do Rio Preto,Bela Vista,casa,venda,4020.8,3119.8,5659.0,6,,setembro/2026
São José do Rio Preto,Belvedere Terra Nova,casa,venda,4597.2,4154.1,4816.7,12,7.31,setembro/2026
São José do Rio Preto,Belvedere Terra Nova,casa,aluguel,28.0,11.1,32.3,5,7.31,setembro/2026
São José do Rio Preto,Boa Vista,casa,venda,2948.4,2412.3,3969.0,52,7.33,setembro/2026
São José do Rio Preto,Boa Vista,casa,aluguel,18.0,15.4,29.4,32,7.33,setembro/2026
São José do Rio Preto,Buona Vita,casa,venda,7483.0,7272.7,7666.7,5,,setembro/2026
São José do Rio Preto,Centro,casa,venda,3859.5,2486.1,5054.1,18,6.62,setembro/2026
São José do Rio Preto,Centro,casa,aluguel,21.3,18.2,28.0,24,6.62,setembro/2026
São José do Rio Preto,Conjunto Habitacional Costa do Sol,casa,venda,1877.1,1575.0,2692.3,13,,setembro/2026
São José do Rio Preto,Conjunto Habitacional Cristo Rei,casa,venda,2354.2,1668.2,2639.7,10,,setembro/2026
São José do Rio Preto,Conjunto Habitacional São Deocleciano,casa,venda,2562.5,2400.0,3065.7,13,,setembro/2026
São José do Rio Preto,Damha I,casa,venda,8196.9,6335.5,8590.8,8,,setembro/2026
São José do Rio Preto,Damha III,casa,venda,5312.5,4893.6,8666.7,5,,setembro/2026
São José do Rio Preto,Damha VI,casa,venda,10350.9,10261.3,11461.5,5,,setembro/2026
São José do Rio Preto,Egydio Zani,casa,venda,1100.0,894.5,4223.9,5,,setembro/2026
São José do Rio Preto,Eldorado,casa,venda,1636.4,1287.9,2452.8,37,,setembro/2026
São José do Rio Preto,Eville Mais Parque Rio Preto,casa,venda,6244.6,5886.1,6546.2,8,,setembro/2026
São José do Rio Preto,Gaivota II,casa,venda,8221.3,7597.2,9486.5,14,,setembro/2026
São José do Rio Preto,Giardino,casa,venda,4605.3,4560.0,5645.2,5,,setembro/2026
São José do Rio Preto,Green Valley Edge City,casa,venda,8314.7,7735.3,9204.0,6,,setembro/2026
São José do Rio Preto,Higienópolis,casa,venda,4682.5,4413.5,5665.4,12,8.12,setembro/2026
São José do Rio Preto,Higienópolis,casa,aluguel,31.7,28.8,40.4,8,8.12,setembro/2026
São José do Rio Preto,Ideal Life Ecolazer Residence,casa,venda,6153.8,5151.5,6708.3,21,,setembro/2026
São José do Rio Preto,Jardim Aclimação,casa,venda,4081.6,3385.1,4621.1,11,6.06,setembro/2026
São José do Rio Preto,Jardim Aclimação,casa,aluguel,20.6,12.1,21.7,7,6.06,setembro/2026
São José do Rio Preto,Jardim Alice,casa,venda,2105.3,2100.0,2161.8,5,,setembro/2026
São José do Rio Preto,Jardim Alto Alegre,casa,venda,2636.1,2500.0,3250.0,5,,setembro/2026
São José do Rio Preto,Jardim Alto Rio Preto,casa,venda,3734.5,2644.2,4331.7,10,5.82,setembro/2026
São José do Rio Preto,Jardim Alto Rio Preto,casa,aluguel,18.1,15.2,24.9,11,5.82,setembro/2026
São José do Rio Preto,Jardim Alvorada,casa,aluguel,23.7,20.8,27.7,7,,setembro/2026
São José do Rio Preto,Jardim América,casa,venda,1766.7,1393.0,2437.5,9,,setembro/2026
São José do Rio Preto,Jardim Antunes,casa,venda,1525.0,1450.0,1900.0,8,,setembro/2026
São José do Rio Preto,Jardim Arroyo,casa,venda,1500.0,1277.8,2591.7,15,,setembro/2026
São José do Rio Preto,Jardim Astúrias,casa,venda,3000.0,2525.0,3455.3,11,,setembro/2026
São José do Rio Preto,Jardim Bianco,casa,venda,2536.6,2044.8,3327.6,7,,setembro/2026
São José do Rio Preto,Jardim Bordon,casa,aluguel,13.6,11.7,15.5,6,,setembro/2026
São José do Rio Preto,Jardim Bosque das Vivendas,casa,venda,4318.5,4074.1,4888.9,9,,setembro/2026
São José do Rio Preto,Jardim Caetano II,casa,venda,3071.4,1543.7,3249.0,7,,setembro/2026
São José do Rio Preto,Jardim Canaã,casa,venda,2941.5,2641.5,3484.8,5,,setembro/2026
São José do Rio Preto,Jardim Caparroz,casa,venda,2586.0,1833.3,3590.9,9,,setembro/2026
São José do Rio Preto,Jardim Conceição,casa,venda,3333.3,2311.3,3752.2,23,6.91,setembro/2026
São José do Rio Preto,Jardim Conceição,casa,aluguel,19.2,15.6,28.8,5,6.91,setembro/2026
São José do Rio Preto,Jardim das Oliveiras,casa,venda,2640.0,1340.0,3717.9,9,,setembro/2026
São José do Rio Preto,Jardim do Cedro,casa,venda,6680.8,5106.5,8107.0,6,,setembro/2026
São José do Rio Preto,Jardim dos Seixas,casa,venda,4194.9,3653.4,4617.8,6,5.32,setembro/2026
São José do Rio Preto,Jardim dos Seixas,casa,aluguel,18.6,17.8,22.0,5,5.32,setembro/2026
São José do Rio Preto,Jardim Estrela,casa,venda,2353.8,1980.0,2868.9,6,,setembro/2026
São José do Rio Preto,Jardim Europa,casa,venda,2857.1,2254.5,3000.0,5,,setembro/2026
