cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
São José dos Campos,Água_ Soca,casa,venda,7150.0,6214.0,7353.2,12,,setembro/2026
São José dos Campos,Alphaville,casa,venda,10863.6,9155.3,11959.3,19,,setembro/2026
São José dos Campos,Alto da Ponte,casa,venda,4591.8,3349.0,5486.4,19,,setembro/2026
São José dos Campos,Altos da Vila Paiva,casa,venda,4125.3,3297.0,5058.2,52,,setembro/2026
São José dos Campos,Bairro da Floresta,casa,venda,7669.2,7360.6,8192.8,38,,setembro/2026
São José dos Campos,Bom Retiro,casa,venda,2652.4,1864.3,3392.9,10,,setembro/2026
São José dos Campos,Bosque dos Eucaliptos,casa,venda,5170.7,3806.0,6747.6,349,6.52,setembro/2026
São José dos Campos,Bosque dos Eucaliptos,casa,aluguel,28.1,20.1,36.9,34,6.52,setembro/2026
São José dos Campos,Bosque dos Ipês,casa,venda,4492.9,3894.4,5488.7,12,,setembro/2026
São José dos Campos,Bsq dos Eucaliptos,casa,venda,5182.2,5142.9,5559.8,5,,setembro/2026
São José dos Campos,Campo dos Alemães,casa,venda,3481.7,2530.8,4672.8,32,,setembro/2026
São José dos Campos,Campos de São José,casa,venda,3193.3,2518.2,4098.9,67,,setembro/2026
São José dos Campos,Centro,casa,venda,4316.6,3472.5,5660.4,88,7.09,setembro/2026
São José dos Campos,Centro,casa,aluguel,25.5,21.0,30.8,22,7.09,setembro/2026
São José dos Campos,Chácaras Araújo I,casa,venda,4090.1,3307.5,4703.7,12,,setembro/2026
São José dos Campos,Chácaras Pousada do Vale,casa,venda,4515.8,3760.2,5295.3,38,,setembro/2026
São José dos Campos,Chácaras Reunidas,casa,venda,4894.0,2080.0,6103.8,8,,setembro/2026
São José dos Campos,Chácaras São José,casa,venda,6224.5,5476.0,7770.5,14,6.81,setembro/2026
São José dos Campos,Chácaras São José,casa,aluguel,35.3,25.8,37.2,8,6.81,setembro/2026
São José dos Campos,Cidade Morumbi,casa,venda,4076.9,3188.4,5106.4,161,6.8,setembro/2026
São José dos Campos,Cidade Morumbi,casa,aluguel,23.1,16.4,25.2,8,6.8,setembro/2026
São José dos Campos,Cidade Vista Verde,casa,venda,4463.2,3483.5,5604.9,135,,setembro/2026
São José dos Campos,Colinas do Parahyba,casa,venda,7916.7,6875.0,9083.3,6,,setembro/2026
São José dos Campos,Colinas do Paratehy,casa,venda,10000.0,8944.6,10509.1,16,,setembro/2026
São José dos Campos,Colinas do Paratehy Norte,casa,venda,10511.2,9715.3,11355.7,8,,setembro/2026
São José dos Campos,Conjunto Residencial Dom Pedro I,casa,venda,3623.9,2878.6,4771.4,25,,setembro/2026
São José dos Campos,Conjunto Residencial Dom Pedro II,casa,venda,3252.7,2710.8,3916.7,10,,setembro/2026
São José dos Campos,Conjunto Residencial Elmano Veloso,casa,venda,2748.5,2336.9,3893.5,6,,setembro/2026
São José dos Campos,Conjunto Residencial Esplanada do Sol,casa,venda,9401.7,8270.9,11362.8,47,4.53,setembro/2026
São José dos Campos,Conjunto Residencial Esplanada do Sol,casa,aluguel,35.5,33.2,39.4,9,4.53,setembro/2026
São José dos Campos,Conjunto Residencial Galo Branco,casa,venda,3322.2,2456.1,4166.7,57,,setembro/2026
São José dos Campos,Conjunto Residencial Trinta e Um de Março,casa,venda,4559.9,3597.1,5992.0,86,7.97,setembro/2026
São José dos Campos,Conjunto Residencial Trinta e Um de Março,casa,aluguel,30.3,23.9,32.6,8,7.97,setembro/2026
São José dos Campos,Conjunto Residencial Vale dos Pinheiros,casa,venda,5322.8,4071.9,6355.7,18,,setembro/2026
São José dos Campos,Conjunto Residencial Vila Leila,casa,venda,4111.7,3511.0,4893.6,6,,setembro/2026
São José dos Campos,Eugênio de Mello,casa,venda,5737.5,3890.1,7012.7,40,,setembro/2026
São José dos Campos,Eugênio de Melo,casa,venda,5302.9,3567.7,6561.5,66,,setembro/2026
São José dos Campos,Floradas da Serra Residencial,casa,venda,8517.6,7271.2,9027.9,6,,setembro/2026
São José dos Campos,Floresta,casa,venda,8160.1,7420.3,8876.8,30,,setembro/2026
São José dos Campos,Freitas,casa,venda,4522.5,3600.0,5440.2,14,,setembro/2026
São José dos Campos,Jardim Aeroporto,casa,venda,3987.5,3695.7,4027.8,5,,setembro/2026
São José dos Campos,Jardim Altos de Santana,casa,venda,3406.2,2429.1,4405.1,54,,setembro/2026
São José dos Campos,Jardim Alvorada,casa,venda,5520.0,4861.7,6500.0,63,5.89,setembro/2026
São José dos Campos,Jardim Alvorada,casa,aluguel,27.1,21.6,40.1,14,5.89,setembro/2026
São José dos Campos,Jardim América,casa,venda,4907.1,3916.5,6644.0,83,8.8,setembro/2026
São José dos Campos,Jardim América,casa,aluguel,36.0,29.7,36.5,7,8.8,setembro/2026
São José dos Campos,Jardim Americano,casa,venda,3758.9,2276.8,4783.6,19,,setembro/2026
São José dos Campos,Jardim Anhembi,casa,venda,5951.7,4513.5,7866.5,10,,setembro/2026
São José dos Campos,Jardim Apolo,casa,venda,9354.2,8148.9,10393.9,55,6.41,setembro/2026
São José dos Campos,Jardim Apolo,casa,aluguel,50.0,45.7,58.1,13,6.41,setembro/2026
São José dos Campos,Jardim Apolo I,casa,venda,8690.0,7928.2,9986.9,11,,setembro/2026
São José dos Campos,Jardim Apolo II,casa,venda,9447.7,8510.9,10237.2,12,,setembro/2026
São José dos Campos,Jardim Aquarius,casa,venda,9649.1,7477.9,11524.7,127,5.07,setembro/2026
São José dos Campos,Jardim Aquarius,casa,aluguel,40.8,35.5,52.7,38,5.07,setembro/2026
São José dos Campos,Jardim Augusta,casa,venda,5391.2,4242.6,6168.8,28,5.63,setembro/2026
São José dos Campos,Jardim Augusta,casa,aluguel,25.3,23.5,29.3,5,5.63,setembro/2026
São José dos Campos,Jardim Bela Vista,casa,venda,3851.3,3053.0,4633.1,63,7.63,setembro/2026
São José dos Campos,Jardim Bela Vista,casa,aluguel,24.5,22.9,29.1,9,7.63,setembro/2026
São José dos Campos,Jardim Castanheira,casa,venda,3741.7,3538.8,4194.7,16,,setembro/2026
São José dos Campos,Jardim Colonial,casa,venda,3610.8,2506.8,4263.5,32,,setembro/2026
São José dos Campos,Jardim Cruzeiro do Sul,casa,venda,3979.2,2952.5,4856.3,26,,setembro/2026
São José dos Campos,Jardim da Granja,casa,venda,3000.0,2043.4,4367.1,19,,setembro/2026
São José dos Campos,Jardim das Cerejeiras,casa,venda,3140.4,2486.5,3966.4,38,,setembro/2026
São José dos Campos,Jardim das Colinas,casa,venda,9369.5,7446.4,10551.8,158,4.8,setembro/2026
São José dos Campos,Jardim das Colinas,casa,aluguel,37.5,30.0,42.2,47,4.8,setembro/2026
São José dos Campos,Jardim das Flores,casa,venda,6846.0,5735.2,7596.6,74,,setembro/2026
São José dos Campos,Jardim das Indústrias,casa,venda,5559.0,4533.0,6878.7,383,6.63,setembro/2026
São José dos Campos,Jardim das Indústrias,casa,aluguel,30.7,25.5,38.0,57,6.63,setembro/2026
São José dos Campos,Jardim das Paineiras II,casa,venda,3287.5,2657.1,4667.5,8,,setembro/2026
São José dos Campos,Jardim Del Rey,casa,venda,4464.3,3529.2,5280.8,14,,setembro/2026
