cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
São Paulo,(Zona Norte) Barro Branco,casa,venda,5824.9,4962.1,7808.9,14,,setembro/2026
São Paulo,Aclimação,casa,venda,7493.8,5925.9,8600.0,65,6.92,setembro/2026
São Paulo,Aclimação,casa,aluguel,43.2,29.3,48.9,16,6.92,setembro/2026
São Paulo,Água Fria,casa,venda,5954.5,4935.7,7472.0,52,6.47,setembro/2026
São Paulo,Água Fria,casa,aluguel,32.1,30.0,33.3,5,6.47,setembro/2026
São Paulo,Água Rasa,casa,venda,5324.9,4288.3,8043.2,18,,setembro/2026
São Paulo,Alto da Boa Vista,casa,venda,9000.0,7777.8,12433.9,37,,setembro/2026
São Paulo,Alto da Lapa,casa,venda,9385.4,6953.7,13752.1,14,4.63,setembro/2026
São Paulo,Alto da Lapa,casa,aluguel,36.2,34.8,53.6,5,4.63,setembro/2026
São Paulo,Alto da Mooca,casa,venda,6400.0,4876.8,9600.0,13,,setembro/2026
São Paulo,Alto da Riviera,casa,venda,3353.7,2693.3,3933.3,7,,setembro/2026
São Paulo,Alto de Pinheiros,casa,venda,12138.7,9229.6,16993.7,107,5.73,setembro/2026
São Paulo,Alto de Pinheiros,casa,aluguel,58.0,51.7,61.6,5,5.73,setembro/2026
São Paulo,Alto do Ipiranga,casa,venda,6666.7,5583.3,8152.2,25,4.7,setembro/2026
São Paulo,Alto do Ipiranga,casa,aluguel,26.1,22.7,35.3,5,4.7,setembro/2026
São Paulo,Altos de Vila Prudente,casa,venda,3666.7,2657.5,3950.0,7,,setembro/2026
São Paulo,Americanópolis,casa,venda,4480.4,3456.2,5597.9,16,7.37,setembro/2026
São Paulo,Americanópolis,casa,aluguel,27.5,26.7,28.6,5,7.37,setembro/2026
São Paulo,Anália Franco,casa,venda,6603.3,5131.6,9803.9,13,,setembro/2026
São Paulo,Anhangüera,casa,venda,4480.0,4375.0,5164.3,5,,setembro/2026
São Paulo,Aricanduva,casa,venda,4700.9,2841.4,5596.2,15,,setembro/2026
São Paulo,Artur Alvim,casa,venda,4805.6,4016.4,6387.1,14,,setembro/2026
São Paulo,Associação Sobradinho,casa,venda,2805.9,2650.0,4000.0,5,,setembro/2026
São Paulo,Barro Branco (Zona Norte),casa,venda,5294.6,4358.3,5928.6,6,,setembro/2026
São Paulo,Bela Aliança,casa,venda,7832.9,7608.7,8258.0,6,,setembro/2026
São Paulo,Bela Vista,casa,venda,7410.4,6307.9,9715.7,24,6.75,setembro/2026
São Paulo,Bela Vista,casa,aluguel,41.7,38.2,56.7,9,6.75,setembro/2026
São Paulo,Belém,casa,venda,6047.6,5226.7,7357.1,6,,setembro/2026
São Paulo,Belenzinho,casa,venda,5598.3,5275.0,6839.9,10,,setembro/2026
São Paulo,Boaçava,casa,venda,12597.4,11250.0,14888.3,9,,setembro/2026
São Paulo,Bortolândia,casa,venda,4411.8,3409.1,5735.3,13,,setembro/2026
São Paulo,Bosque da Saúde,casa,venda,6647.5,5335.1,7986.1,84,5.9,setembro/2026
São Paulo,Bosque da Saúde,casa,aluguel,32.7,26.3,39.9,16,5.9,setembro/2026
São Paulo,Brasilândia,casa,venda,2661.6,2636.1,4365.1,5,9.65,setembro/2026
São Paulo,Brasilândia,casa,aluguel,21.4,15.5,25.6,11,9.65,setembro/2026
São Paulo,Brooklin,casa,venda,8863.6,7028.3,12142.9,53,5.27,setembro/2026
São Paulo,Brooklin,casa,aluguel,38.9,35.8,51.6,12,5.27,setembro/2026
São Paulo,Brooklin Novo,casa,venda,11042.9,9444.4,13235.3,25,,setembro/2026
São Paulo,Brooklin Paulista,casa,venda,8181.9,6024.1,10426.5,60,5.9,setembro/2026
São Paulo,Brooklin Paulista,casa,aluguel,40.2,36.9,57.7,8,5.9,setembro/2026
São Paulo,Brooklin Velho,casa,venda,6847.1,5916.1,9370.6,14,,setembro/2026
São Paulo,Burgo Paulista,casa,venda,6204.4,5588.2,7402.6,9,,setembro/2026
São Paulo,Butantã,casa,venda,5154.3,3941.0,6336.7,155,8.54,setembro/2026
São Paulo,Butantã,casa,aluguel,36.7,27.2,41.2,16,8.54,setembro/2026
São Paulo,Cachoeirinha,casa,venda,3075.0,2984.7,3573.3,7,,setembro/2026
São Paulo,Cambuci,casa,venda,5944.4,4553.5,7758.2,59,6.3,setembro/2026
São Paulo,Cambuci,casa,aluguel,31.2,25.6,47.8,9,6.3,setembro/2026
São Paulo,Campo Belo,casa,venda,7984.4,6316.9,10740.0,164,6.43,setembro/2026
São Paulo,Campo Belo,casa,aluguel,42.8,33.8,54.2,51,6.43,setembro/2026
São Paulo,Campo Grande,casa,venda,4869.1,4313.1,5829.4,12,,setembro/2026
