cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Ubatuba,Acarau,apartamento,venda,10468.8,9015.2,12901.7,18,,setembro/2026
Ubatuba,Barra da Lagoa,apartamento,venda,8219.2,6559.1,9037.6,7,,setembro/2026
Ubatuba,Centro,apartamento,venda,9743.7,8157.3,12044.9,32,7.16,setembro/2026
Ubatuba,Centro,apartamento,aluguel,58.1,46.3,63.8,6,7.16,setembro/2026
Ubatuba,Estufa I,apartamento,venda,7333.3,6594.6,7816.4,5,6.23,setembro/2026
Ubatuba,Estufa I,apartamento,aluguel,38.1,35.3,39.6,7,6.23,setembro/2026
Ubatuba,Itaguá,apartamento,venda,10000.0,8297.0,11785.1,111,3.55,setembro/2026
Ubatuba,Itaguá,apartamento,aluguel,29.6,26.8,46.7,5,3.55,setembro/2026
Ubatuba,Jardim Carolina,apartamento,venda,9068.9,9068.9,9201.4,11,,setembro/2026
Ubatuba,Maranduba,apartamento,venda,6470.6,5657.9,8527.5,21,,setembro/2026
Ubatuba,Perequê-Açu,apartamento,venda,9152.6,8132.4,10000.0,18,,setembro/2026
Ubatuba,Perequê-Mirim,apartamento,venda,7618.3,7102.7,8288.4,6,,setembro/2026
Ubatuba,Praia das Toninhas,apartamento,venda,13679.8,11500.0,15964.9,6,4.82,setembro/2026
Ubatuba,Praia das Toninhas,apartamento,aluguel,55.0,44.3,80.0,5,4.82,setembro/2026
Ubatuba,Praia de Itaguá,apartamento,venda,11998.3,10112.0,12904.5,11,,setembro/2026
Ubatuba,Praia do Sapê,apartamento,venda,7481.7,6416.7,11079.7,13,,setembro/2026
Ubatuba,Praia do Tenório,apartamento,venda,13219.2,10750.5,14128.1,5,,setembro/2026
Ubatuba,Praia Grande,apartamento,venda,11052.6,9065.2,13309.5,63,,setembro/2026
Ubatuba,Saco da Ribeira,apartamento,venda,6601.6,5882.5,11895.9,12,,setembro/2026
Ubatuba,Tenório,apartamento,venda,8788.1,8201.2,9165.9,6,,setembro/2026
Ubatuba,Toninhas,apartamento,venda,10401.3,8727.0,12666.7,65,5.95,setembro/2026
Ubatuba,Toninhas,apartamento,aluguel,51.6,38.0,84.0,7,5.95,setembro/2026
Ubatuba,Umuarama,apartamento,venda,8222.2,7681.2,9041.1,5,,setembro/2026
Ubatuba,Centro,casa,venda,5466.7,4143.9,6625.0,12,,setembro/2026
Ubatuba,Horto Florestal,casa,venda,7619.0,5918.4,8166.7,15,,setembro/2026
Ubatuba,Itaguá,casa,venda,6666.7,5283.3,11275.4,7,,setembro/2026
Ubatuba,Lagoinha,casa,venda,8000.0,7287.5,10645.2,13,,setembro/2026
Ubatuba,Maranduba,casa,venda,5333.3,4615.4,6494.1,9,,setembro/2026
Ubatuba,Pedra Verde (Domingas Dias),casa,venda,10870.6,8833.3,12702.0,6,,setembro/2026
Ubatuba,Perequê-Açu,casa,venda,6488.4,5123.5,7453.2,15,,setembro/2026
Ubatuba,Praia do Itamambuca,casa,venda,5263.2,4923.1,10666.7,5,,setembro/2026
Ubatuba,Praia do Sapê,casa,venda,5500.0,4294.5,8750.0,5,,setembro/2026
Ubatuba,Praia Dura,casa,venda,8000.0,5000.0,12195.9,13,,setembro/2026
Ubatuba,Toninhas,casa,venda,6401.3,4408.7,7875.8,10,,setembro/2026
Ubatuba,Ubatumirim,casa,venda,4296.9,4000.0,5500.0,5,,setembro/2026
Ubatuba,Centro,sala,aluguel,70.0,64.0,90.9,9,,setembro/2026
