cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Palmas,1003 Sul,casa,venda,4986.9,4097.9,6000.0,20,,setembro/2026
Palmas,109 Sul,casa,venda,12024.4,11261.3,14218.0,5,,setembro/2026
Palmas,110 Norte,casa,venda,4944.4,4033.9,7287.5,7,,setembro/2026
Palmas,110 Sul,casa,venda,6693.4,5542.6,8627.7,8,,setembro/2026
Palmas,1103 Sul,casa,venda,5242.5,3875.2,5808.8,20,,setembro/2026
Palmas,1104 Sul,casa,venda,5351.4,5301.2,5714.3,5,,setembro/2026
Palmas,1204 Sul,casa,venda,3063.2,2241.7,4264.2,8,,setembro/2026
Palmas,1205 Sul,casa,venda,5766.4,4522.8,6052.7,10,,setembro/2026
Palmas,1305 Sul,casa,venda,4857.1,3480.0,5394.7,7,,setembro/2026
Palmas,1404 Sul,casa,venda,5002.0,3518.5,5525.1,14,,setembro/2026
Palmas,1406 Sul,casa,venda,4662.5,4057.9,5082.0,12,,setembro/2026
Palmas,1503 Sul,casa,venda,4952.1,3599.1,5625.4,44,,setembro/2026
Palmas,1504 Sul,casa,venda,4739.9,3186.7,5658.9,12,,setembro/2026
Palmas,1506 Sul,casa,venda,5013.2,3684.1,5514.9,23,,setembro/2026
Palmas,1601 Sul,casa,venda,3709.5,3371.2,4997.8,8,,setembro/2026
Palmas,1603 Sul,casa,venda,4565.2,3881.3,5997.3,15,,setembro/2026
Palmas,204 Sul,casa,venda,7250.6,6215.1,10046.9,6,,setembro/2026
Palmas,209 Sul,casa,venda,13246.3,12585.7,13887.8,6,,setembro/2026
Palmas,303 Sul,casa,venda,5778.9,5015.1,7984.8,6,,setembro/2026
Palmas,305 Sul,casa,venda,5823.8,4926.8,7282.9,10,,setembro/2026
Palmas,307 Sul,casa,venda,4217.0,4099.9,5274.7,10,,setembro/2026
Palmas,309 Sul,casa,venda,6559.9,4935.5,7687.9,30,,setembro/2026
